Movie Name,Ratings,Metascores,Votes,Gross
1.Logan(2017),8.1,77,805789,$226.28M
2.Thor: Ragnarok(2017),7.9,74,794070,$315.06M
3.Guardians of the Galaxy Vol. 2(2017),7.6,67,737501,$389.81M
4.Dunkirk(2017),7.8,94,713975,$188.37M
5.Spider-Man: Homecoming(2017),7.4,73,697307,$334.20M
6.Wonder Woman(2017),7.4,76,685433,$412.56M
7.Get Out(I) (2017),7.8,85,660094,$176.04M
8.Star Wars: Episode VIII - The Last Jedi(2017),6.9,84,657694,$620.18M
9.Blade Runner 2049(2017),8.0,81,626502,$92.05M
10.It(I) (2017),7.3,69,584203,$327.48M
11.Baby Driver(2017),7.6,86,584021,$107.83M
12.Coco(I) (2017),8.4,81,557596,$209.73M
"13.Three Billboards Outside Ebbing, Missouri(2017)",8.1,88,537591,$54.51M
14.La casa de papel(2017–2021),8.2,,510171,
15.John Wick: Chapter 2(2017),7.4,75,492957,$92.03M
16.Justice League(2017),6.1,45,470348,$229.02M
17.The Shape of Water(2017),7.3,87,438006,$63.86M
18.Dark(2017–2020),8.7,,422582,
19.Jumanji: Welcome to the Jungle(2017),6.9,58,406598,$404.52M
20.Kingsman: The Golden Circle(2017),6.7,44,351119,$100.23M
21.Kong: Skull Island(2017),6.7,62,336257,$168.05M
22.Ozark(2017–2022),8.5,,334006,
23.Pirates of the Caribbean: Dead Men Tell No Tales(2017),6.5,39,333437,$172.56M
24.Beauty and the Beast(I) (2017),7.1,65,326027,$504.01M
25.Mindhunter(2017–2019),8.6,,317227,
26.Lady Bird(2017),7.4,93,314575,$48.96M
27.13 Reasons Why(2017–2020),7.5,,308295,
28.The Greatest Showman(2017),7.5,48,300280,$174.34M
29.Call Me by Your Name(2017),7.8,94,298501,$18.10M
30.Alien: Covenant(2017),6.4,65,294817,$74.26M
31.Murder on the Orient Express(2017),6.5,52,278540,$102.83M
32.War for the Planet of the Apes(2017),7.4,82,272067,$146.88M
33.Wind River(2017),7.7,73,269306,$33.80M
34.The Punisher(2017–2019),8.5,,255141,
35.The Handmaid's Tale(2017– ),8.4,,251010,
36.The Fate of the Furious(2017),6.6,56,247487,$226.01M
37.Life(I) (2017),6.6,54,245142,$30.23M
38.Mother!(2017),6.6,76,241791,$17.80M
