TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
00:30,4156.990,1674.720,975.110,1275.540,169.860,21.090
00:35,4128.300,1673.070,964.330,1262.240,169.120,21.030
00:40,4114.920,1665.650,960.010,1260.760,168.760,20.990
00:45,4097.340,1658.160,957.490,1252.510,168.210,21.050
00:50,4093.320,1626.210,952.580,1259.720,167.910,21.020
00:55,4059.570,1641.450,946.990,1245.350,167.060,20.930
01:00,4045.090,1637.620,940.180,1241.460,166.330,20.890
01:05,4019.010,1633.120,937.000,1223.510,166.550,20.870
01:10,3985.110,1616.260,925.600,1217.050,167.310,20.700
01:15,3965.530,1609.060,921.060,1209.970,167.900,20.730
01:20,3932.600,1592.370,912.900,1203.910,168.650,20.470
01:25,3917.940,1585.300,908.640,1199.200,166.360,20.810
01:30,3913.770,1585.900,907.660,1196.150,166.050,20.810
01:35,3889.550,1575.500,900.450,1190.850,165.050,20.810
01:40,3891.100,1573.680,900.170,1195.560,165.010,20.690
01:45,3866.550,1560.580,894.840,1188.320,165.540,20.630
01:50,3856.950,1559.390,892.600,1182.140,165.820,20.570
01:55,3837.230,1550.390,887.370,1177.140,164.940,20.600
02:00,3816.380,1543.280,886.170,1166.380,163.240,20.660
02:05,3793.400,1533.650,877.650,1163.100,162.490,20.440
02:10,3767.890,1521.620,874.430,1153.200,162.560,20.440
02:15,3746.740,1511.590,868.380,1149.850,160.990,20.380
02:20,3722.590,1500.740,862.120,1142.170,161.680,20.210
02:25,3706.940,1492.030,858.990,1139.720,161.830,20.160
02:30,3694.670,1485.180,854.760,1142.150,160.840,19.620
02:35,3676.890,1478.340,851.730,1131.310,161.070,19.520
02:40,3670.300,1475.330,850.050,1129.600,161.030,19.390
02:45,3665.300,1474.280,850.440,1125.640,160.620,19.490
02:50,3647.930,1467.120,847.230,1118.720,160.380,19.820
02:55,3634.970,1463.180,842.040,1115.770,159.950,19.240
03:00,3611.620,1453.720,842.820,1105.130,159.390,19.450
03:05,3587.430,1444.100,830.630,1098.810,159.940,19.800
03:10,3576.420,1441.650,829.090,1096.440,155.200,20.140
03:15,3570.240,1439.820,825.090,1095.810,155.500,20.080
03:20,3553.670,1429.230,822.930,1089.240,160.120,20.080
03:25,3535.590,1423.990,814.250,1087.830,156.020,19.870
03:30,3522.320,1419.210,810.960,1084.150,154.780,19.920
03:35,3505.790,1416.990,807.320,1074.940,153.860,19.820
03:40,3476.920,1373.630,801.980,1069.680,155.760,19.850
03:45,3484.020,1404.560,802.160,1071.400,153.290,19.810
03:50,3475.320,1402.580,801.080,1064.440,154.590,19.740
03:55,3456.130,1389.090,795.880,1062.970,154.620,19.790
04:00,3463.240,1399.080,796.960,1060.280,153.950,19.930
04:05,3422.940,1380.380,786.690,1047.960,154.070,19.870
04:10,3426.060,1384.170,784.590,1051.200,153.850,19.730
04:15,3419.560,1383.570,783.020,1045.990,154.480,19.920
04:20,3424.140,1383.910,781.430,1047.730,153.930,19.780
04:25,3397.260,1375.080,774.130,1042.840,154.980,19.690
04:30,3401.370,1379.800,775.210,1039.160,153.090,19.630
04:35,3400.600,1378.180,773.920,1042.010,154.410,19.740
04:40,3394.560,1377.820,775.860,1036.960,153.350,19.880
04:45,3391.750,1374.580,774.540,1034.670,154.890,19.850
04:50,3380.000,1368.830,765.260,1037.460,154.120,20.330
04:55,3384.880,1369.590,764.520,1045.510,152.810,20.240
05:00,3377.340,1363.660,767.510,1038.610,154.720,20.630
05:05,3394.990,1377.160,769.010,1041.690,154.410,20.950
05:10,3392.860,1372.390,771.170,1041.800,154.100,21.150
05:15,3401.220,1374.390,769.320,1038.720,155.740,21.580
05:20,3417.720,1385.800,776.700,1046.000,154.960,21.890
05:25,3426.400,1387.560,774.710,1050.090,159.030,22.330
05:30,3429.810,1385.350,772.490,1059.970,156.170,22.620
05:35,3448.010,1402.060,782.930,1057.330,155.440,22.650
05:40,3440.580,1394.380,782.650,1053.730,154.790,23.150
05:45,3428.290,1387.740,773.420,1056.760,154.400,23.320
05:50,3448.440,1398.630,774.030,1064.510,154.530,23.620
05:55,3463.780,1396.050,783.730,1072.510,154.530,23.850
06:00,3505.300,1424.890,785.870,1082.250,156.300,22.660
06:05,3514.440,1408.610,803.050,1091.370,154.430,23.090
06:10,3499.460,1411.880,794.610,1082.340,153.810,23.530
06:15,3537.630,1431.000,811.410,1080.390,160.290,23.480
06:20,3558.580,1427.070,823.080,1095.470,165.640,23.420
06:25,3570.980,1425.200,828.770,1101.910,157.750,23.710
06:30,3577.730,1420.600,823.930,1115.650,157.170,23.280
06:35,3595.870,1427.680,827.910,1127.620,162.840,25.030
06:40,3583.320,1413.760,828.010,1123.320,156.930,24.680
06:45,3580.270,1397.520,832.230,1129.250,161.310,25.040
06:50,3599.660,1410.520,852.280,1119.070,158.560,24.950
06:55,3588.540,1405.390,843.770,1102.280,178.080,25.090
07:00,3520.030,1380.350,825.960,1092.870,162.260,24.880
07:05,3543.390,1361.630,854.130,1100.490,169.010,24.650
07:10,3541.630,1379.210,842.460,1098.740,164.700,24.900
07:15,3514.500,1331.820,845.960,1092.550,162.870,24.840
07:20,3505.140,1371.420,832.490,1076.440,166.690,24.900
07:25,3513.430,1374.910,833.590,1076.660,171.240,25.010
07:30,3465.220,1339.860,834.440,1063.320,170.520,25.040
07:35,3481.960,1364.990,822.930,1066.620,169.910,24.820
07:40,3447.100,1332.440,818.940,1071.160,167.070,24.810
07:45,3459.460,1337.240,831.010,1062.280,171.490,24.750
07:50,3438.150,1327.710,818.080,1060.390,171.030,24.750
