TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
00:30,4952.580,2174.660,1125.830,1393.870,182.980,28.400
00:35,4917.750,2172.930,1107.700,1379.990,183.280,28.380
00:40,4905.580,2166.530,1105.860,1377.110,181.390,28.450
00:45,4893.060,2151.150,1109.470,1372.480,179.790,28.330
00:50,4880.890,2144.660,1109.860,1372.540,180.060,28.240
00:55,4840.410,2126.160,1099.780,1360.930,179.900,28.080
01:00,4824.570,2121.050,1095.760,1354.680,179.230,28.120
01:05,4805.060,2112.850,1091.970,1347.960,178.610,28.010
01:10,4779.290,2101.210,1082.020,1343.510,179.030,27.910
01:15,4757.940,2095.090,1079.200,1332.670,177.750,27.990
01:20,4745.120,2085.930,1079.170,1329.810,177.080,28.020
01:25,4717.140,2068.000,1074.470,1325.570,176.160,27.840
01:30,4683.760,2060.560,1062.370,1311.460,176.750,27.830
01:35,4663.860,2047.830,1061.160,1307.220,175.900,27.720
01:40,4654.540,2043.490,1056.430,1307.590,175.040,27.620
01:45,4632.520,2032.000,1051.490,1303.530,173.630,27.480
01:50,4600.760,2018.580,1044.600,1291.820,175.070,27.500
01:55,4596.110,2015.570,1043.120,1291.790,174.310,27.520
02:00,4566.470,2007.120,1037.910,1276.920,173.520,27.460
02:05,4543.080,1994.760,1030.450,1274.760,172.600,27.350
02:10,4524.010,1987.090,1027.650,1265.650,173.410,27.210
02:15,4515.620,1977.530,1027.510,1267.020,173.560,27.150
02:20,4510.620,1971.170,1026.800,1269.310,172.300,27.080
02:25,4483.670,1963.250,1022.090,1257.230,171.450,27.120
02:30,4465.620,1952.790,1019.730,1252.360,171.250,27.030
02:35,4449.130,1948.410,1014.590,1245.050,171.780,27.050
02:40,4435.080,1935.790,1010.110,1247.850,172.360,26.880
02:45,4413.560,1931.210,1002.820,1241.230,168.360,26.830
02:50,4386.260,1922.930,995.470,1229.570,170.250,26.880
02:55,4374.790,1913.890,996.770,1226.560,169.370,26.850
03:00,4366.580,1911.960,990.440,1227.020,168.690,26.840
03:05,4347.160,1908.380,983.810,1218.640,167.960,26.750
03:10,4327.520,1896.970,977.890,1215.830,168.960,26.760
03:15,4310.380,1887.290,976.150,1212.060,167.100,26.790
03:20,4288.970,1878.470,967.690,1206.380,168.870,26.700
03:25,4291.370,1881.080,970.820,1203.230,168.500,26.830
03:30,4281.020,1875.650,967.750,1202.910,167.310,26.850
03:35,4268.210,1867.080,966.010,1201.170,166.530,26.690
03:40,4239.900,1854.880,958.710,1191.310,167.260,26.480
03:45,4246.870,1859.350,959.050,1194.770,166.830,26.540
03:50,4219.930,1839.680,955.030,1192.480,166.130,26.460
03:55,4208.080,1847.430,945.670,1183.080,166.070,26.370
04:00,4192.110,1833.250,946.300,1181.040,165.550,26.470
04:05,4169.460,1826.200,938.870,1172.500,166.840,26.430
04:10,4149.680,1818.830,931.140,1167.300,165.590,26.390
04:15,4141.080,1820.750,926.980,1162.650,165.080,26.160
04:20,4145.780,1817.280,931.630,1165.870,164.880,26.400
04:25,4123.650,1807.590,925.140,1160.010,165.070,26.320
04:30,4107.470,1805.140,922.100,1149.150,164.510,26.410
04:35,4103.040,1799.370,921.060,1151.490,165.720,26.540
04:40,4096.200,1793.130,919.470,1152.910,165.250,26.540
04:45,4090.130,1800.260,918.360,1141.630,163.470,26.710
04:50,4088.760,1793.150,920.840,1145.490,163.900,26.610
04:55,4080.590,1781.830,921.410,1146.790,165.010,26.790
05:00,4085.290,1793.100,928.190,1131.610,166.370,27.090
05:05,4063.360,1776.570,912.390,1141.720,166.500,27.580
05:10,4056.210,1773.480,913.140,1135.730,167.440,27.940
05:15,4043.030,1764.850,912.660,1131.300,167.030,27.850
05:20,4046.710,1774.100,907.680,1131.980,166.470,28.060
05:25,4024.710,1763.910,898.590,1127.860,167.200,28.190
05:30,4025.160,1757.440,905.460,1130.100,165.710,28.200
05:35,4018.530,1758.300,906.670,1119.860,167.500,28.020
05:40,3972.480,1732.150,895.540,1112.240,166.050,28.260
05:45,3969.630,1738.920,890.480,1108.100,166.060,28.340
05:50,3959.130,1737.420,890.630,1099.320,165.490,28.590
05:55,3945.170,1734.750,888.660,1092.860,163.900,28.400
06:00,3942.130,1704.820,897.810,1106.850,165.960,28.870
06:05,3944.080,1718.390,895.110,1097.380,165.680,29.060
06:10,3944.190,1707.180,898.580,1106.150,165.710,28.980
06:15,3935.220,1714.440,890.110,1092.710,170.480,29.090
06:20,3947.970,1727.430,890.390,1092.550,167.660,28.930
06:25,3896.490,1629.520,906.230,1124.190,171.220,29.050
06:30,3896.480,1659.250,886.500,1106.860,179.430,29.170
06:35,3895.260,1670.060,884.940,1096.930,175.550,29.340
06:40,3929.650,1699.440,888.230,1107.810,169.030,29.060
06:45,3904.380,1679.870,891.210,1091.870,176.480,29.430
06:50,3924.310,1674.990,892.310,1110.360,178.970,29.600
06:55,3901.140,1683.530,879.870,1089.600,180.980,29.360
07:00,3919.260,1665.770,893.430,1113.870,181.680,29.400
07:05,3926.960,1669.280,913.540,1089.930,184.340,29.860
07:10,3933.980,1679.640,902.180,1093.360,183.990,30.360
07:15,3955.720,1686.680,920.100,1090.630,191.120,30.740
07:20,3939.870,1688.670,897.160,1092.000,194.420,31.010
07:25,3933.810,1701.730,886.620,1081.680,197.510,31.170
07:30,3946.360,1713.820,879.100,1089.740,195.700,31.450
07:35,3948.100,1679.490,901.580,1103.240,200.950,31.770
07:40,3944.940,1706.330,885.340,1090.770,203.980,31.820
