TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
00:30,2054.990,820.470,384.520,670.470,135.630,22.560
00:35,2023.090,815.620,384.390,646.740,134.810,22.320
00:40,2002.690,799.160,372.190,654.400,135.370,22.030
00:45,1977.690,790.580,366.850,644.800,134.520,21.490
00:50,1959.690,779.070,364.720,641.410,134.390,21.500
00:55,1940.360,774.420,359.530,632.980,134.040,21.330
01:00,1912.510,762.860,352.170,625.990,133.490,21.020
01:05,1903.390,757.310,351.810,620.910,133.670,21.600
01:10,1866.740,743.260,343.900,606.810,133.510,21.540
01:15,1872.110,746.950,342.900,610.430,133.270,21.430
01:20,1852.030,736.170,338.160,605.230,133.630,21.420
01:25,1836.390,735.720,335.930,594.090,133.040,21.000
01:30,1828.430,724.480,330.120,601.190,132.850,21.010
01:35,1819.960,720.910,323.940,601.630,135.010,21.020
01:40,1796.610,711.020,321.140,592.270,132.990,21.070
01:45,1809.720,712.450,327.860,597.810,132.770,21.250
01:50,1789.630,706.100,318.480,590.830,136.110,21.110
01:55,1757.770,695.170,313.450,577.920,133.400,21.180
02:00,1757.370,693.000,312.500,581.240,132.500,21.270
02:05,1743.340,689.650,308.630,573.820,132.780,21.080
02:10,1736.700,683.230,310.380,572.470,132.250,20.840
02:15,1737.330,682.140,307.930,577.680,132.270,20.700
02:20,1718.160,675.960,300.370,571.510,132.660,20.760
02:25,1714.830,672.050,302.170,570.570,133.350,20.760
02:30,1699.000,667.530,299.060,561.110,133.660,20.800
02:35,1705.420,666.180,297.360,572.770,133.210,20.730
02:40,1701.150,666.260,298.580,567.690,131.570,20.630
02:45,1699.270,663.810,296.500,569.820,132.000,20.740
02:50,1695.910,662.300,293.710,574.890,130.910,20.660
02:55,1677.680,656.450,293.200,563.180,129.030,20.690
03:00,1674.610,657.780,288.290,559.830,131.020,20.870
03:05,1671.270,658.510,289.010,555.680,131.300,20.770
03:10,1674.530,660.100,289.810,557.880,129.910,20.920
03:15,1684.470,666.520,294.550,557.230,129.950,20.920
03:20,1670.000,659.950,287.720,556.030,129.720,20.960
03:25,1681.560,666.100,292.590,556.640,129.520,20.510
03:30,1681.890,662.580,298.190,557.160,127.440,20.580
03:35,1682.850,664.690,287.310,568.130,125.780,21.410
03:40,1681.270,674.260,290.130,554.740,124.760,21.530
03:45,1682.860,671.150,290.570,557.060,127.120,21.390
03:50,1677.210,668.930,291.410,553.730,125.800,21.400
03:55,1673.560,667.720,287.290,554.710,127.120,21.130
04:00,1684.030,676.920,286.540,556.460,126.720,21.370
04:05,1691.880,683.990,286.550,558.770,125.070,21.270
04:10,1714.170,694.310,293.660,561.000,126.720,21.240
04:15,1725.350,703.290,294.510,564.950,125.060,21.270
04:20,1720.150,696.820,291.530,565.970,128.300,21.290
04:25,1737.590,707.580,296.580,568.700,126.950,21.450
04:30,1732.140,713.630,290.760,562.720,126.250,21.750
04:35,1752.700,718.800,297.300,572.250,125.730,21.810
04:40,1760.790,727.140,294.920,573.210,125.090,22.080
04:45,1784.340,735.300,302.960,579.670,126.500,22.330
04:50,1798.470,742.660,307.420,583.830,125.520,22.120
04:55,1825.810,751.740,315.700,591.610,125.620,22.960
05:00,1861.020,768.300,322.270,603.990,125.040,23.370
05:05,1892.460,782.640,329.050,612.700,127.070,24.070
05:10,1922.020,793.130,337.760,620.490,127.610,24.360
05:15,1968.910,813.810,352.040,631.470,127.800,24.740
05:20,2005.770,835.930,351.550,645.570,128.580,24.850
05:25,2032.370,847.990,359.210,651.360,128.530,25.070
05:30,2071.280,863.150,369.680,663.880,128.780,25.400
05:35,2123.340,882.810,385.030,680.610,128.420,25.700
05:40,2144.180,884.730,394.850,688.140,128.180,26.130
05:45,2190.910,914.200,403.220,698.600,128.090,26.640
05:50,2242.530,926.090,414.880,723.590,128.240,27.160
05:55,2294.720,961.990,431.820,724.150,127.860,27.510
06:00,2334.590,978.460,433.130,743.810,128.710,28.330
06:05,2476.900,1031.010,475.720,786.440,129.670,29.480
06:10,2498.620,1040.970,477.240,792.730,131.230,30.140
06:15,2582.940,1079.460,508.130,809.360,131.220,30.720
06:20,2667.170,1117.270,531.140,830.080,133.510,29.820
06:25,2698.320,1130.620,538.310,838.820,133.340,31.590
06:30,2776.860,1150.930,556.240,876.080,133.650,32.380
06:35,2814.060,1175.890,571.840,871.520,134.840,33.020
06:40,2892.390,1198.580,588.460,916.280,134.870,33.140
06:45,2923.650,1232.390,589.370,904.380,136.170,34.040
