TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
00:30,1722.840,673.940,337.840,578.310,100.930,15.450
00:35,1666.610,655.590,323.680,556.030,100.360,15.250
00:40,1689.010,664.010,330.920,563.140,99.680,15.230
00:45,1668.270,651.970,324.350,561.030,99.290,15.290
00:50,1674.210,658.450,322.810,562.800,99.230,15.160
00:55,1652.700,643.360,320.300,559.630,98.660,15.100
01:00,1628.830,637.410,313.870,548.900,99.100,15.090
01:05,1616.510,634.520,310.460,542.780,98.320,15.100
01:10,1600.800,627.850,307.000,537.250,98.480,15.000
01:15,1593.280,624.780,306.210,537.020,96.600,13.560
01:20,1585.090,620.600,302.660,535.760,96.580,13.940
01:25,1566.420,617.550,299.550,524.170,95.710,14.530
01:30,1563.810,613.090,296.790,528.370,96.210,14.530
01:35,1560.880,612.470,295.190,527.520,96.330,14.560
01:40,1556.460,610.420,295.460,525.530,95.750,14.490
01:45,1553.090,609.490,294.670,522.760,96.970,14.560
01:50,1548.170,604.760,292.190,525.660,96.360,14.480
01:55,1535.980,603.850,290.180,520.570,92.330,14.410
02:00,1523.850,599.030,287.570,516.610,91.960,14.420
02:05,1515.400,596.840,284.650,512.040,92.860,14.530
02:10,1510.880,596.150,283.600,510.230,92.010,14.400
02:15,1509.240,595.240,282.290,510.870,92.060,14.480
02:20,1520.460,596.810,284.390,518.340,92.020,14.350
02:25,1499.010,586.870,277.900,513.280,92.460,14.500
02:30,1500.610,590.090,278.960,510.630,92.270,14.470
02:35,1482.840,581.970,277.140,503.240,91.790,14.540
02:40,1492.200,584.900,276.340,510.720,91.870,14.490
02:45,1481.580,578.570,274.360,500.580,91.460,14.540
02:50,1485.060,583.390,275.350,506.470,91.280,14.490
02:55,1466.970,576.050,270.400,500.400,91.430,14.400
03:00,1473.400,580.920,272.130,500.180,91.830,14.330
03:05,1470.950,583.180,270.640,497.510,90.990,14.360
03:10,1463.560,580.610,268.860,494.880,91.120,14.220
03:15,1462.030,581.810,268.300,492.250,91.780,14.300
03:20,1464.120,578.970,266.820,498.250,92.110,14.310
03:25,1466.570,583.530,266.380,496.530,91.850,14.330
03:30,1464.440,578.640,266.370,498.510,91.750,14.330
03:35,1466.980,584.210,266.240,497.130,91.020,14.430
03:40,1464.870,583.990,265.750,495.290,91.340,14.560
03:45,1473.030,591.880,268.390,493.000,91.230,14.680
03:50,1471.170,587.250,267.540,496.160,91.310,14.610
03:55,1476.700,594.070,267.840,495.420,90.900,14.670
04:00,1490.480,596.640,270.280,502.670,91.670,14.700
04:05,1498.520,607.290,270.040,502.670,89.280,14.960
04:10,1511.280,613.220,272.740,506.630,89.150,15.090
04:15,1519.000,616.880,273.890,508.640,89.990,15.120
04:20,1525.820,621.100,275.920,509.690,89.390,15.250
04:25,1539.560,628.960,278.060,513.370,89.920,15.340
04:30,1546.470,634.040,278.090,514.730,89.820,15.710
04:35,1561.080,642.860,279.960,518.180,89.370,16.060
04:40,1582.450,651.930,286.160,522.980,90.130,16.220
04:45,1585.800,649.750,283.870,529.610,90.640,16.370
04:50,1626.400,671.840,292.160,539.960,90.250,16.770
04:55,1640.110,682.600,294.710,539.780,90.380,17.080
05:00,1626.190,673.970,295.760,532.580,90.880,17.560
05:05,1706.620,709.160,309.400,558.310,92.110,18.210
05:10,1735.900,720.070,319.680,568.830,91.840,18.770
05:15,1774.480,736.250,328.760,580.530,92.350,19.630
05:20,1816.610,768.620,336.230,582.360,92.090,20.070
05:25,1839.280,766.960,342.500,598.280,93.470,20.640
05:30,1881.550,781.300,355.040,611.090,94.770,21.350
05:35,1951.250,820.560,363.740,629.990,96.470,22.240
05:40,1972.230,832.460,367.370,636.210,96.040,22.970
05:45,2054.600,856.520,387.690,670.450,96.860,23.610
05:50,2085.800,879.820,400.370,664.590,96.860,24.290
05:55,2138.260,897.320,412.140,686.480,98.070,24.690
06:00,2193.610,924.630,419.240,704.290,98.890,25.490
06:05,2289.120,958.750,456.470,725.570,100.790,26.580
06:10,2384.210,1006.890,474.570,754.050,102.530,27.720
06:15,2485.150,1052.910,493.230,788.710,102.670,28.670
06:20,2548.060,1076.860,498.200,813.590,105.930,29.410
06:25,2644.490,1113.110,527.700,839.870,106.220,30.030
06:30,2676.090,1121.080,540.540,852.280,106.870,30.680
06:35,2764.560,1162.940,563.220,871.350,109.150,31.300
06:40,2788.480,1155.940,566.230,899.230,111.020,32.010
06:45,2861.710,1180.700,596.800,918.300,111.610,32.300
06:50,2958.950,1228.990,613.380,942.050,113.710,32.840
06:55,3044.730,1264.370,636.220,967.340,115.120,33.060
07:00,3089.170,1271.920,645.270,992.950,115.370,33.250
07:05,3149.960,1304.260,658.170,1007.080,116.940,33.580
07:10,3213.490,1331.390,668.240,1029.050,118.380,33.510
07:15,3301.690,1371.250,704.180,1043.080,123.980,33.700
07:20,3370.950,1396.760,714.350,1067.820,126.210,33.790
07:25,3413.510,1410.020,713.590,1099.270,128.560,34.280
07:30,3457.490,1419.740,727.860,1108.090,130.700,34.350
07:35,3505.060,1457.790,736.750,1112.540,131.450,34.490
07:40,3532.760,1467.000,752.200,1111.260,132.940,34.410
07:45,3556.200,1485.100,733.690,1136.830,134.560,34.350
07:50,3595.360,1479.660,764.920,1148.260,135.300,34.270
07:55,3570.860,1484.800,757.380,1125.070,135.970,33.860
08:00,3581.200,1480.600,769.600,1126.390,137.380,33.710
08:05,3631.870,1483.750,777.340,1166.830,139.300,33.140
08:10,3609.950,1506.940,761.540,1132.930,141.260,32.920
08:15,3646.000,1515.030,755.900,1165.080,142.760,32.580
08:20,3636.150,1501.150,789.820,1141.860,143.110,32.130
08:25,3614.250,1488.140,773.870,1140.960,143.170,31.550
08:30,3620.060,1495.950,776.060,1145.150,143.350,31.300
08:35,3630.980,1474.380,768.050,1176.540,144.980,31.050
08:40,3637.050,1499.160,752.050,1177.570,146.170,31.050
08:45,3637.070,1508.320,776.870,1143.490,146.780,30.390
08:50,3628.710,1511.000,762.200,1141.330,147.770,30.110
08:55,3584.290,1469.830,754.940,1148.590,148.600,29.830
09:00,3637.910,1505.260,768.370,1145.180,148.650,29.300
09:05,3606.790,1481.330,757.290,1155.980,149.300,28.630
09:10,3633.320,1484.290,763.840,1176.870,149.680,28.630
09:15,3684.950,1503.200,761.270,1206.820,149.910,28.440
09:20,3757.400,1528.550,781.930,1232.110,150.600,28.080
09:25,3715.350,1502.560,763.290,1234.890,151.180,28.100
09:30,3792.310,1547.720,782.560,1249.800,151.010,27.960
09:35,3750.130,1485.350,796.010,1254.630,150.870,27.660
09:40,3816.730,1524.530,794.000,1283.760,150.950,27.270
09:45,3785.350,1502.800,799.870,1269.470,150.560,27.280
09:50,3811.690,1499.000,804.630,1295.290,149.990,26.810
09:55,3797.710,1506.200,795.330,1285.950,150.220,26.900
10:00,3820.440,1506.690,790.280,1311.170,149.710,26.650
10:05,3760.810,1482.380,781.060,1282.080,153.280,26.360
10:10,3815.110,1495.240,799.080,1308.610,153.130,26.220
10:15,3750.600,1464.310,796.240,1277.370,151.090,26.040
10:20,3796.030,1475.750,806.970,1298.320,152.830,25.860
10:25,3740.310,1424.880,807.180,1295.920,151.160,25.550
10:30,3772.240,1459.480,800.520,1300.450,150.590,25.340
10:35,3749.230,1448.040,784.420,1300.900,150.050,25.230
10:40,3727.480,1436.960,776.880,1303.330,149.680,25.230
10:45,3694.580,1425.820,792.390,1266.570,149.630,25.080
10:50,3689.920,1410.410,772.040,1297.830,149.170,24.640
10:55,3728.000,1431.200,796.860,1295.470,149.100,24.470
11:00,3675.060,1412.610,776.270,1273.790,149.300,24.500
11:05,3647.470,1362.970,800.100,1276.400,148.150,23.670
11:10,3634.280,1384.460,774.490,1269.630,148.420,23.420
11:15,3631.100,1363.410,789.500,1271.640,147.840,23.120
11:20,3598.010,1363.120,769.540,1259.240,147.660,23.310
11:25,3559.950,1344.540,760.870,1252.860,146.830,23.090
11:30,3540.960,1334.100,756.910,1249.510,145.780,22.890
11:35,3551.240,1350.730,757.390,1241.610,146.050,22.360
11:40,3521.290,1344.680,762.620,1213.450,144.780,22.430
11:45,3515.080,1340.510,770.170,1203.990,145.250,22.470
11:50,3485.060,1338.770,743.770,1199.220,145.120,22.300
11:55,3503.430,1334.400,761.330,1206.470,145.080,22.250
12:00,3460.520,1295.300,747.110,1217.970,145.440,22.140
12:05,3441.590,1302.480,751.650,1189.030,145.510,21.850
12:10,3439.040,1307.630,726.870,1202.940,145.180,21.690
12:15,3416.610,1301.390,737.770,1177.890,146.230,21.500
12:20,3371.420,1278.680,718.180,1175.450,145.980,21.210
12:25,3350.440,1266.040,720.160,1166.280,145.270,21.020
12:30,3334.820,1264.740,706.130,1159.880,144.410,21.140
12:35,3340.480,1250.750,731.000,1162.630,143.110,21.250
12:40,3308.100,1249.900,705.130,1157.350,143.380,21.160
12:45,3291.600,1234.310,722.380,1148.600,143.570,20.840
12:50,3266.210,1238.120,704.510,1129.360,143.190,20.650
12:55,3237.280,1237.730,700.300,1105.410,142.540,20.730
13:00,3142.230,1205.630,686.130,1056.070,144.400,20.540
13:05,3009.830,1162.420,669.200,985.750,143.620,20.340
13:10,2989.160,1159.680,667.840,968.640,144.260,20.250
13:15,2921.390,1140.410,646.380,942.740,143.020,20.110
13:20,2950.770,1154.580,659.570,951.970,142.650,19.750
13:25,2936.060,1132.080,649.000,965.280,142.800,19.520
13:30,2911.270,1142.720,630.250,946.310,142.770,19.130
13:35,2909.540,1114.680,631.770,974.060,142.160,19.060
13:40,2961.920,1127.670,636.920,1000.290,147.750,18.900
13:45,2974.590,1123.110,633.850,1020.760,147.460,18.660
13:50,2962.380,1106.070,644.960,1009.190,146.720,18.790
13:55,3000.010,1122.960,635.410,1028.300,146.580,18.840
14:00,2939.620,1103.350,625.950,1020.090,144.770,18.690
14:05,2977.850,1123.320,648.370,1016.210,143.870,18.480
14:10,2992.780,1118.130,643.870,1039.290,144.180,18.420
14:15,2965.410,1118.110,616.820,1037.240,144.760,18.060
14:20,2975.120,1119.720,641.940,1023.530,143.580,18.160
14:25,2965.280,1121.060,631.200,1032.060,143.640,18.030
14:30,2971.550,1121.470,611.000,1048.450,143.830,18.010
14:35,2957.160,1124.640,619.380,1015.910,144.280,17.690
14:40,2968.840,1119.010,622.400,1037.550,143.620,17.520
14:45,2938.070,1082.370,634.280,1032.890,143.290,17.340
14:50,2920.030,1090.070,628.280,1012.310,143.820,17.250
14:55,2935.020,1097.680,625.680,1022.760,143.760,17.440
15:00,2895.200,1074.730,618.510,1013.790,143.650,17.220
15:05,2891.310,1053.300,613.450,1032.650,143.630,17.400
15:10,2903.410,1073.430,623.010,1022.230,143.030,17.330
15:15,2894.200,1074.120,625.450,1006.740,143.130,17.280
15:20,2888.140,1057.940,629.950,1012.490,143.140,17.190
15:25,2862.310,1063.980,616.090,995.410,142.440,17.070
15:30,2863.880,1057.320,610.920,1009.450,141.910,17.220
15:35,2893.570,1077.810,618.270,1011.930,141.770,17.050
15:40,2886.970,1081.700,611.750,1007.050,141.860,17.180
15:45,2883.550,1074.690,609.490,1013.120,141.500,17.270
15:50,2856.430,1079.210,601.350,990.290,141.460,17.540
15:55,2866.670,1065.680,616.120,998.610,142.230,17.330
16:00,2888.290,1098.240,609.890,993.160,141.380,17.380
16:05,2887.380,1074.510,598.350,1027.040,141.980,17.840
16:10,2885.400,1079.250,619.080,994.870,141.970,17.760
16:15,2845.920,1065.740,585.240,1009.580,141.140,18.060
16:20,2897.660,1085.290,609.120,1011.730,141.200,18.030
16:25,2853.770,1064.230,608.680,993.110,142.300,18.350
16:30,2897.230,1083.210,623.890,1003.040,141.150,18.410
16:35,2874.830,1070.030,608.920,1013.290,136.070,18.610
16:40,2882.100,1102.860,596.070,1006.120,135.830,18.750
16:45,2890.840,1092.550,610.250,1005.440,135.570,18.950
