TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
00:30,1996.070,797.080,401.790,633.280,118.800,26.170
00:35,1982.460,793.070,394.840,632.560,117.260,25.900
00:40,1954.630,774.150,387.910,630.860,117.920,25.770
00:45,1927.940,761.800,381.280,624.480,117.110,25.630
00:50,1889.850,746.600,374.550,609.740,115.680,25.370
00:55,1867.510,737.820,369.670,601.530,115.480,25.250
01:00,1843.950,727.390,363.600,594.860,115.560,24.940
01:05,1820.650,719.250,358.840,585.590,114.750,24.990
01:10,1803.700,714.590,354.430,583.880,114.280,24.810
01:15,1790.480,708.860,351.500,580.530,112.810,24.780
01:20,1770.630,697.230,344.750,574.650,112.170,24.460
01:25,1760.020,694.820,343.690,573.330,112.080,24.530
01:30,1755.930,691.100,340.090,571.590,112.160,24.280
01:35,1747.500,688.350,337.200,568.920,111.870,24.390
01:40,1733.290,679.760,334.430,566.560,111.810,24.270
01:45,1730.640,679.460,332.460,566.900,111.010,24.120
01:50,1713.120,670.480,329.350,561.860,111.080,24.250
01:55,1700.760,664.030,325.090,560.160,110.170,24.240
02:00,1704.440,669.120,325.120,557.070,111.360,24.180
02:05,1687.330,666.900,323.280,550.770,109.960,24.240
02:10,1687.570,676.150,325.950,563.290,81.870,24.280
02:15,1671.540,665.320,322.460,562.990,81.060,23.970
02:20,1666.440,670.310,322.560,552.820,80.580,24.110
02:25,1673.670,672.990,321.170,558.640,80.950,24.020
02:30,1649.950,657.410,316.420,556.350,80.320,23.690
02:35,1646.620,656.370,315.100,555.930,80.010,23.690
02:40,1634.950,653.930,313.870,547.190,80.880,24.010
02:45,1636.790,654.100,313.520,551.090,79.820,22.790
02:50,1629.640,654.000,309.260,548.870,79.400,22.610
02:55,1622.770,658.620,309.330,537.180,80.230,23.040
03:00,1619.920,653.220,307.080,540.970,80.730,23.330
03:05,1620.090,649.680,307.580,542.260,80.680,23.990
03:10,1612.680,649.950,306.170,536.190,81.000,23.930
03:15,1619.380,652.010,305.990,541.830,80.460,24.240
03:20,1610.500,652.290,304.130,533.630,81.140,23.750
03:25,1607.120,647.230,301.650,537.660,81.170,24.120
03:30,1613.130,647.120,301.040,544.370,80.940,24.360
03:35,1602.700,646.540,300.100,535.350,81.220,24.250
03:40,1611.400,645.400,301.170,542.800,81.210,24.380
03:45,1617.420,650.850,302.460,543.090,81.280,24.450
03:50,1606.760,648.050,300.130,538.140,80.810,24.430
03:55,1610.570,653.750,302.060,533.520,81.210,24.730
04:00,1607.060,651.470,299.180,537.500,78.890,24.780
04:05,1624.480,659.340,302.650,547.820,79.250,24.880
04:10,1618.230,666.890,301.540,535.310,78.890,25.270
04:15,1645.330,675.840,303.840,545.440,79.100,25.390
04:20,1660.760,681.280,307.240,551.300,79.730,25.480
04:25,1672.140,686.570,308.570,556.020,79.510,25.540
04:30,1689.100,697.190,311.410,559.750,79.090,25.640
04:35,1686.290,690.190,312.010,560.640,82.030,25.950
04:40,1698.190,697.970,313.950,562.680,81.500,26.070
04:45,1704.630,701.870,314.800,562.810,82.250,26.180
04:50,1724.910,713.090,316.500,567.090,82.290,26.640
04:55,1745.930,730.850,327.990,561.350,82.230,26.950
05:00,1752.120,722.520,326.330,576.730,82.500,27.380
05:05,1776.590,746.100,334.540,569.120,82.500,27.430
05:10,1813.290,755.450,341.040,587.480,83.670,28.530
05:15,1861.180,772.290,354.850,603.580,83.540,29.030
05:20,1875.340,785.620,355.670,602.760,83.860,29.590
05:25,1898.070,791.160,364.930,612.960,82.560,30.170
05:30,1914.500,795.410,368.740,619.580,82.210,30.410
05:35,1963.760,819.230,380.170,633.620,82.200,31.070
05:40,2011.160,850.260,385.850,641.940,82.630,31.460
05:45,2031.950,852.380,396.150,649.290,83.040,32.140
05:50,2092.090,878.090,408.290,670.410,83.790,32.770
05:55,2124.460,890.250,416.490,676.080,84.330,33.270
06:00,2168.070,916.590,431.910,689.260,85.640,33.970
06:05,2239.570,939.380,451.670,704.830,87.580,34.760
06:10,2306.250,972.310,461.300,729.150,88.540,35.410
06:15,2387.740,1008.520,479.630,751.490,89.130,36.350
06:20,2453.970,1032.820,503.130,769.580,87.540,37.350
06:25,2516.590,1054.300,516.190,797.330,88.160,38.030
06:30,2595.240,1099.300,519.880,822.690,89.160,38.820
06:35,2641.410,1100.640,544.920,843.790,90.810,39.930
06:40,2708.320,1132.160,562.080,852.030,90.500,40.710
06:45,2766.360,1170.540,566.440,871.740,91.360,41.690
06:50,2839.560,1205.920,577.420,899.370,92.980,42.250
06:55,2912.140,1224.090,599.860,927.310,93.520,43.210
07:00,2999.990,1259.070,631.260,946.560,94.890,44.440
07:05,3127.180,1337.770,642.740,978.980,96.020,45.780
07:10,3209.890,1351.450,673.980,1012.780,96.980,46.300
07:15,3273.030,1375.060,700.000,1021.940,98.130,46.510
07:20,3365.150,1416.360,717.210,1054.350,98.110,47.150
07:25,3414.320,1408.550,746.540,1085.100,97.840,47.670
07:30,3516.740,1474.440,754.690,1106.990,98.700,48.470
07:35,3617.480,1524.630,780.670,1127.050,101.010,49.600
07:40,3705.820,1557.420,796.390,1165.320,102.050,49.800
07:45,3763.890,1576.330,816.190,1180.730,105.950,50.900
07:50,3870.320,1615.710,838.100,1216.320,107.960,51.120
07:55,3942.000,1660.740,855.840,1230.010,109.870,52.040
08:00,4007.020,1696.480,859.780,1248.440,111.700,52.420
08:05,4091.380,1722.300,872.740,1293.790,112.950,52.330
08:10,4137.910,1716.000,901.710,1302.370,115.520,52.660
08:15,4193.710,1751.900,924.090,1302.330,116.380,52.110
08:20,4195.890,1759.830,904.500,1324.590,117.540,51.900
08:25,4249.800,1793.560,906.420,1332.600,118.640,51.910
08:30,4298.510,1806.120,915.980,1350.880,120.460,52.040
08:35,4309.260,1805.980,932.870,1352.690,121.240,51.280
08:40,4302.690,1805.830,919.450,1355.440,121.200,51.740
08:45,4343.140,1833.520,928.070,1356.560,130.280,51.720
08:50,4367.260,1849.550,936.650,1351.810,131.490,51.680
08:55,4415.740,1868.030,934.430,1382.460,132.470,52.230
09:00,4441.700,1874.700,949.760,1379.510,136.000,52.490
09:05,4433.490,1882.730,920.540,1396.870,137.320,52.160
09:10,4502.530,1893.780,961.890,1421.180,137.710,52.020
09:15,4547.120,1921.010,968.350,1422.150,139.760,51.830
09:20,4607.660,1910.600,986.900,1472.150,141.070,51.740
09:25,4617.990,1921.280,975.760,1483.710,141.670,51.760
09:30,4631.110,1920.640,981.990,1490.440,142.770,51.750
09:35,4677.070,1957.450,981.870,1500.000,143.490,51.310
09:40,4720.440,1954.540,1000.630,1532.620,145.650,51.600
09:45,4777.560,1932.350,1017.850,1514.830,213.950,51.880
09:50,4773.420,1955.450,991.400,1519.960,216.120,51.780
09:55,4825.030,1952.010,1011.320,1547.250,216.940,51.600
10:00,4821.260,1966.070,996.620,1547.670,217.460,51.750
10:05,4861.030,1991.310,1004.460,1551.380,220.900,51.460
10:10,4838.440,1963.050,1001.630,1555.430,221.470,51.160
10:15,4873.300,2004.360,989.390,1550.640,226.090,51.200
10:20,4889.530,1966.850,1013.660,1583.020,226.040,51.180
10:25,4904.580,2001.890,1010.520,1563.560,227.320,51.350
10:30,4909.190,1982.690,1020.760,1581.520,227.310,50.920
10:35,4880.760,1973.770,1007.350,1577.000,229.550,50.850
10:40,4858.200,1988.730,976.860,1570.940,228.960,50.170
10:45,4873.420,1971.210,1001.970,1580.010,230.280,49.540
10:50,4932.810,1993.180,1014.900,1595.840,231.090,49.610
10:55,4895.540,1952.940,1024.040,1592.940,230.080,49.560
11:00,4900.280,1959.350,1019.520,1592.530,229.800,48.820
11:05,4815.300,1936.550,979.900,1575.350,229.090,48.660
11:10,4843.240,1943.900,1002.960,1574.980,227.780,48.200
11:15,4825.060,1923.860,987.300,1589.580,228.550,48.060
11:20,4807.620,1921.640,989.750,1579.980,227.770,47.880
11:25,4788.720,1908.770,994.630,1561.310,227.160,48.240
11:30,4801.710,1905.460,1010.040,1558.770,226.050,47.660
11:35,4710.950,1865.170,987.620,1538.590,226.660,47.700
11:40,4719.890,1870.530,981.290,1555.010,225.310,47.110
11:45,4711.440,1860.840,978.170,1552.440,221.410,46.510
