TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
00:30,5288.150,2327.460,1194.610,1509.980,181.500,29.850
00:35,5271.730,2309.970,1189.810,1510.370,179.880,29.680
00:40,5263.930,2307.340,1190.760,1507.340,179.490,29.550
00:45,5225.240,2283.640,1178.230,1504.600,178.730,29.690
00:50,5201.810,2280.030,1179.240,1487.900,177.600,29.790
00:55,5178.770,2259.600,1176.170,1489.200,176.710,29.710
01:00,5152.350,2250.770,1161.120,1485.420,177.220,29.680
01:05,5125.270,2236.550,1160.810,1473.020,177.220,29.630
01:10,5111.220,2228.480,1158.170,1470.610,176.040,29.560
01:15,5075.500,2217.050,1148.610,1457.030,175.500,29.430
01:20,5067.260,2210.100,1142.280,1462.810,174.730,29.280
01:25,5043.020,2197.880,1137.270,1452.030,175.640,29.330
01:30,5016.170,2191.010,1128.280,1445.340,172.200,29.260
01:35,4990.190,2179.230,1127.130,1438.020,171.490,29.170
01:40,4966.510,2170.300,1119.770,1428.580,171.190,29.160
01:45,4959.900,2163.710,1119.330,1426.170,171.220,29.220
01:50,4929.100,2147.980,1116.350,1419.130,170.060,29.070
01:55,4909.040,2144.810,1102.560,1410.270,169.670,29.060
02:00,4890.970,2132.890,1103.530,1410.350,169.280,29.050
02:05,4877.820,2122.590,1116.530,1409.110,169.310,28.970
02:10,4847.630,2113.630,1092.560,1398.040,168.860,28.940
02:15,4825.580,2106.620,1102.050,1393.450,167.770,28.970
02:20,4799.300,2094.850,1079.530,1383.310,167.480,28.690
02:25,4792.080,2090.080,1079.930,1380.780,167.060,28.740
02:30,4768.020,2120.710,1052.690,1354.710,165.990,28.550
02:35,4742.850,2073.190,1080.180,1369.040,165.420,28.590
02:40,4732.280,2063.630,1060.950,1368.920,165.180,28.650
02:45,4696.240,2050.860,1054.520,1351.490,165.820,28.500
02:50,4683.350,2041.650,1049.440,1352.350,165.860,28.570
02:55,4683.000,2040.870,1066.480,1371.720,163.940,28.450
03:00,4649.080,2030.070,1046.230,1336.440,163.790,28.390
03:05,4601.790,2012.240,1039.530,1318.890,163.290,28.310
03:10,4577.600,2004.430,1028.680,1309.620,163.240,28.400
03:15,4538.800,1985.340,1016.380,1302.810,162.650,28.440
03:20,4542.100,1975.760,1019.070,1316.140,160.820,28.160
03:25,4526.270,1974.600,1012.850,1307.610,161.880,28.350
03:30,4506.020,1962.310,1011.280,1299.890,161.460,28.210
03:35,4490.580,1951.880,1020.410,1314.520,161.560,28.200
03:40,4470.050,1943.620,1000.860,1292.230,161.970,28.060
03:45,4452.300,1939.460,992.150,1287.530,160.530,28.050
03:50,4429.060,1922.230,1006.060,1284.710,160.500,28.000
03:55,4428.200,1927.850,987.850,1281.390,160.370,27.750
04:00,4418.480,1922.790,985.490,1278.500,160.780,27.710
04:05,4402.970,1921.940,977.470,1270.620,159.710,27.830
04:10,4374.790,1908.950,971.880,1264.840,159.400,27.660
04:15,4366.020,1909.650,964.230,1276.410,159.890,27.700
04:20,4352.890,1901.640,963.980,1259.650,159.120,27.700
04:25,4335.860,1895.390,959.890,1252.670,159.200,27.660
04:30,4329.710,1889.390,959.410,1252.730,158.840,27.730
04:35,4306.960,1885.380,951.190,1245.440,157.580,27.490
04:40,4294.440,1872.260,949.710,1247.820,156.430,27.640
04:45,4279.720,1863.830,949.650,1240.090,156.350,27.550
04:50,4268.210,1869.470,944.000,1229.370,156.610,27.470
04:55,4249.420,1862.640,941.450,1221.400,156.510,27.500
05:00,4236.260,1857.230,937.570,1217.400,157.180,27.750
05:05,4242.780,1856.230,940.400,1220.570,157.490,27.810
05:10,4236.960,1850.560,939.030,1222.100,156.570,28.240
05:15,4189.050,1834.340,941.590,1202.920,156.640,28.320
05:20,4192.030,1824.000,928.980,1217.260,155.340,27.970
05:25,4176.950,1819.290,925.290,1210.010,154.970,27.800
05:30,4145.150,1804.660,921.790,1199.160,153.330,27.750
05:35,4138.590,1800.320,922.910,1192.270,153.430,27.360
05:40,4113.570,1779.180,922.980,1193.930,150.710,27.590
05:45,4080.020,1770.400,907.000,1186.520,151.150,27.500
05:50,4075.200,1768.040,916.230,1177.030,146.550,27.560
05:55,4035.870,1761.910,900.260,1165.370,143.960,27.310
06:00,4039.090,1758.540,898.050,1170.300,147.410,27.580
06:05,4033.270,1744.990,895.960,1173.840,148.330,27.620
06:10,4040.480,1751.780,901.260,1172.700,149.530,27.420
06:15,4027.030,1740.140,896.220,1173.150,151.780,27.670
06:20,4028.980,1748.240,900.490,1163.250,151.280,27.600
06:25,4004.630,1728.270,902.850,1155.150,152.710,27.780
06:30,4026.810,1713.470,924.060,1168.870,152.420,27.360
06:35,4000.190,1722.740,900.570,1157.790,152.980,27.260
06:40,4014.110,1722.720,904.230,1167.070,154.950,26.990
06:45,4000.160,1708.800,908.360,1166.640,155.390,26.190
06:50,3993.690,1707.910,905.790,1160.140,155.440,26.260
06:55,3980.890,1698.050,902.390,1159.780,156.350,26.080
07:00,3983.830,1691.030,913.640,1159.420,156.900,26.050
07:05,3985.890,1688.810,913.080,1161.230,156.870,26.010
07:10,3961.540,1663.820,923.370,1170.100,147.230,26.060
07:15,3971.550,1689.050,906.910,1160.980,151.880,26.100
07:20,3956.760,1664.720,913.410,1156.980,154.360,26.070
07:25,3962.870,1663.930,915.680,1165.440,154.140,26.000
07:30,3939.090,1660.990,905.440,1155.450,155.040,25.960
07:35,3932.410,1667.770,902.910,1149.220,155.630,25.860
07:40,3931.970,1664.820,900.160,1148.530,155.680,25.960
07:45,3930.810,1654.970,901.150,1158.080,156.220,25.890
07:50,3946.860,1673.580,898.520,1154.040,156.220,26.010
07:55,3924.140,1651.650,886.620,1163.090,159.350,25.920
08:00,3916.950,1654.210,883.200,1152.460,162.260,25.990
08:05,3927.630,1647.720,901.750,1153.360,158.830,25.640
08:10,3924.720,1667.760,887.140,1146.070,160.930,25.220
08:15,3927.190,1653.860,880.330,1171.050,159.640,25.280
08:20,3936.330,1664.700,880.460,1174.690,158.010,25.530
08:25,3963.280,1673.740,878.740,1183.200,158.580,25.290
08:30,3932.920,1649.600,866.310,1177.150,167.340,25.640
08:35,3965.350,1677.370,878.480,1184.020,166.230,25.560
08:40,3930.960,1653.410,876.110,1186.080,163.070,25.430
08:45,3943.500,1673.760,867.650,1180.240,159.810,25.530
08:50,3969.810,1660.640,881.310,1192.250,162.980,25.500
08:55,3967.090,1689.350,868.930,1175.450,165.820,25.740
09:00,3940.220,1682.080,860.480,1168.550,164.980,25.890
09:05,4002.360,1699.030,874.560,1189.630,168.030,26.160
09:10,4016.090,1683.070,888.870,1214.600,167.210,26.090
09:15,4060.410,1700.160,912.980,1237.150,163.600,26.450
09:20,4109.870,1691.520,915.160,1267.840,168.220,26.840
09:25,4141.520,1715.970,919.420,1282.930,160.130,27.120
09:30,4175.840,1718.650,920.260,1300.290,167.820,26.710
09:35,4227.460,1745.130,921.220,1317.550,170.730,26.560
09:40,4235.270,1731.770,934.510,1322.010,179.590,25.910
09:45,4237.330,1772.410,925.620,1310.790,170.560,17.850
09:50,4314.600,1791.190,946.420,1335.920,177.740,22.490
09:55,4352.710,1790.020,954.470,1361.480,175.470,23.610
10:00,4386.880,1817.950,959.280,1364.350,177.260,26.470
10:05,4402.010,1797.970,983.290,1375.750,176.440,27.360
10:10,4426.900,1829.500,975.190,1367.120,178.400,27.770
10:15,4432.330,1812.730,977.700,1388.630,176.080,27.640
10:20,4454.680,1819.070,982.620,1401.810,179.200,27.630
10:25,4494.040,1832.500,1001.220,1406.130,186.480,27.370
10:30,4503.430,1865.280,980.600,1404.990,182.260,27.470
10:35,4547.930,1857.640,1011.620,1425.120,189.140,27.810
10:40,4571.410,1869.280,1006.380,1439.120,187.160,28.020
10:45,4571.080,1870.020,1002.970,1435.690,191.420,28.000
10:50,4598.900,1886.310,1007.190,1447.270,190.420,27.650
10:55,4636.190,1914.310,1028.490,1456.110,187.060,27.990
11:00,4626.080,1882.000,1025.390,1461.990,189.470,27.880
11:05,4658.000,1912.200,1027.740,1455.160,191.240,27.720
11:10,4674.110,1912.810,1038.220,1460.170,195.570,28.380
11:15,4685.200,1916.630,1022.360,1492.200,192.100,28.580
11:20,4720.670,1949.510,1033.930,1466.420,197.390,29.040
11:25,4700.860,1946.560,1011.390,1457.050,206.730,29.340
11:30,4746.990,1956.440,1052.250,1473.230,190.640,29.250
11:35,4742.940,1919.920,1051.120,1501.940,193.520,28.790
11:40,4760.510,1936.290,1059.350,1512.720,200.730,28.320
11:45,4784.920,1934.840,1068.580,1517.230,195.030,27.240
11:50,4755.940,1908.480,1070.380,1494.890,202.340,27.480
11:55,4750.650,1910.810,1054.590,1519.220,202.680,28.430
12:00,4774.810,1939.410,1044.580,1530.560,187.130,28.570
12:05,4792.050,1934.500,1061.410,1528.450,193.870,28.410
12:10,4787.660,1948.980,1045.320,1517.130,190.630,27.260
12:15,4787.770,1982.400,1056.680,1484.780,190.650,27.780
12:20,4784.580,1991.370,1056.890,1469.020,193.620,29.310
12:25,4799.690,1973.570,1065.990,1487.950,196.760,29.300
12:30,4818.380,1995.990,1078.780,1474.160,193.550,29.330
12:35,4805.900,1982.410,1080.690,1471.070,194.020,28.890
12:40,4814.060,1981.860,1081.700,1474.020,192.340,28.790
12:45,4796.450,1975.100,1078.150,1475.950,194.830,28.220
12:50,4865.370,1994.970,1093.250,1501.840,201.010,28.210
12:55,4849.830,1974.000,1104.340,1494.020,201.360,28.510
13:00,4810.790,1992.920,1084.020,1459.320,199.500,28.310
13:05,4777.150,1983.050,1076.260,1437.610,198.830,28.270
13:10,4813.370,2013.090,1092.650,1436.790,200.230,28.760
13:15,4794.430,2009.310,1088.870,1422.740,198.980,29.080
13:20,4871.460,2027.430,1102.140,1455.900,205.740,29.280
13:25,4861.480,2047.080,1091.780,1443.490,204.590,28.770
13:30,4852.730,2039.030,1092.210,1440.640,206.490,29.720
13:35,4898.990,2062.920,1097.100,1454.650,208.560,29.200
13:40,4923.100,2067.510,1098.630,1473.250,204.690,29.060
13:45,4957.100,2081.030,1107.840,1485.750,206.420,28.800
13:50,4958.290,2088.630,1103.720,1489.870,200.430,28.660
13:55,4996.260,2085.700,1113.710,1518.980,198.400,28.850
14:00,4962.300,2090.050,1092.630,1498.550,207.000,28.740
14:05,4982.220,2074.680,1111.960,1522.740,201.530,28.540
14:10,5013.830,2077.990,1115.330,1541.800,201.590,28.040
14:15,5085.230,2118.300,1126.930,1552.950,207.210,28.090
14:20,5071.580,2100.060,1140.850,1568.840,201.180,27.890
14:25,5105.690,2115.450,1129.200,1580.010,206.350,27.380
14:30,5091.970,2091.400,1135.190,1586.930,199.630,27.530
14:35,5131.960,2128.690,1136.080,1586.100,204.760,27.510
14:40,5180.080,2140.520,1150.690,1615.200,200.270,27.700
14:45,5162.050,2125.730,1139.870,1613.260,204.890,27.690
14:50,5192.570,2142.930,1147.270,1620.370,205.530,28.110
14:55,5200.540,2141.960,1162.400,1621.380,205.430,28.460
15:00,5191.630,2131.810,1155.260,1619.040,205.650,28.680
15:05,5199.790,2139.090,1156.960,1614.040,215.540,28.660
15:10,5180.330,2158.130,1140.610,1599.760,204.630,28.650
15:15,5173.990,2139.870,1155.930,1609.030,199.500,28.580
15:20,5169.410,2134.180,1163.560,1595.470,203.920,28.840
15:25,5172.440,2132.840,1168.770,1598.200,198.560,28.780
15:30,5150.210,2110.290,1160.270,1606.110,196.910,28.770
15:35,5144.520,2125.640,1160.550,1590.940,193.330,28.520
15:40,5128.000,2123.920,1152.660,1577.060,196.400,28.460
15:45,5147.390,2096.210,1169.640,1600.480,202.520,28.300
15:50,5113.150,2100.240,1145.730,1586.140,203.510,28.300
15:55,5126.400,2105.780,1153.110,1585.490,198.580,28.440
16:00,5125.310,2141.220,1114.890,1584.990,201.600,28.660
16:05,5088.780,2105.010,1134.050,1576.270,205.870,29.090
16:10,5115.560,2127.140,1133.920,1575.880,195.380,29.110
16:15,5092.950,2128.570,1100.760,1575.610,207.380,29.570
16:20,5109.210,2142.140,1136.360,1554.560,190.200,29.980
16:25,5075.480,2092.370,1123.580,1582.340,203.630,29.950
16:30,5043.550,2098.930,1116.290,1547.450,198.690,30.110
16:35,5050.210,2121.670,1111.140,1540.720,199.320,29.970
16:40,5053.520,2089.530,1140.920,1549.630,199.190,29.990
16:45,5002.380,2094.850,1101.180,1530.920,195.840,29.960
16:50,4999.470,2063.830,1113.230,1544.270,204.030,29.800
16:55,4965.410,2078.450,1103.050,1509.870,197.860,30.100
17:00,4937.180,2053.210,1097.880,1516.450,197.390,30.360
17:05,4928.740,2034.240,1090.080,1524.740,198.360,30.430
17:10,4911.310,2031.900,1097.800,1504.080,200.220,30.720
17:15,4869.420,2029.420,1082.520,1483.770,192.840,30.440
17:20,4879.900,2008.960,1086.010,1505.250,203.080,30.330
17:25,4885.880,2041.490,1098.240,1474.990,192.970,30.350
17:30,4849.550,2012.840,1079.720,1474.580,194.600,30.250
17:35,4845.820,1990.480,1103.680,1479.620,195.780,30.190
17:40,4832.480,1992.120,1098.190,1472.670,193.830,29.930
17:45,4840.020,2006.330,1098.980,1465.900,186.780,25.830
17:50,4791.750,1963.410,1103.490,1458.540,197.780,29.120
17:55,4802.640,1983.970,1089.700,1457.960,187.580,29.090
18:00,4765.810,1972.550,1070.340,1446.700,196.820,29.230
18:05,4761.790,1967.050,1088.600,1435.800,193.200,28.950
18:10,4735.250,1977.640,1063.960,1426.050,196.300,28.970
18:15,4736.740,1963.410,1065.650,1442.410,193.900,28.760
18:20,4713.200,1936.560,1073.500,1435.060,193.010,27.990
18:25,4761.290,1969.070,1098.000,1432.260,186.760,27.270
18:30,4726.810,1948.020,1087.670,1437.950,182.410,25.770
18:35,4659.440,1933.330,1060.890,1414.610,182.900,25.530
18:40,4644.120,1905.190,1075.930,1408.490,184.530,26.270
18:45,4633.730,1896.500,1080.980,1410.320,184.090,26.710
18:50,4605.820,1894.420,1068.630,1387.970,185.600,26.970
18:55,4580.130,1884.260,1055.810,1382.930,186.330,27.370
19:00,4654.120,1901.470,1082.150,1413.110,185.680,27.170
19:05,4667.770,1933.650,1077.770,1397.990,186.350,27.630
19:10,4668.840,1939.830,1062.980,1403.760,186.670,27.700
19:15,4680.740,1947.560,1061.270,1412.080,187.590,27.800
19:20,4647.730,1931.790,1053.350,1400.410,187.380,28.430
19:25,4700.320,1940.610,1064.080,1434.620,187.420,28.860
19:30,4731.100,1945.010,1073.990,1448.130,187.330,28.830
19:35,4767.050,1961.910,1092.840,1453.660,184.050,29.300
19:40,4798.450,1978.810,1099.510,1459.790,185.300,29.530
19:45,4793.840,1999.120,1085.780,1447.120,186.330,29.670
19:50,4800.290,2009.460,1094.460,1435.130,185.600,30.250
19:55,4807.610,2016.270,1091.260,1444.620,185.250,30.510
20:00,4851.460,2033.330,1098.930,1455.930,185.410,30.430
20:05,4825.100,2023.770,1084.650,1460.560,184.970,30.620
20:10,4884.760,2075.250,1085.010,1459.320,185.560,30.850
20:15,4870.240,2053.080,1088.210,1466.870,184.860,30.860
20:20,4897.960,2076.370,1090.680,1469.540,184.760,31.110
20:25,4917.960,2084.550,1101.450,1467.490,184.320,31.300
