TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
00:30,6724.240,2973.810,1473.890,1999.270,179.290,34.080
00:35,6702.940,2963.240,1472.370,1991.760,177.560,34.280
00:40,6681.570,2952.730,1468.330,1984.250,178.040,34.270
00:45,6667.900,2954.070,1463.450,1975.080,177.590,34.170
00:50,6639.540,2935.710,1463.420,1967.890,175.790,34.160
00:55,6600.860,2919.230,1458.570,1951.480,175.040,33.850
01:00,6551.190,2903.650,1451.860,1924.790,174.800,33.850
01:05,6551.930,2896.360,1451.800,1933.690,174.250,33.650
01:10,6542.100,2894.700,1447.440,1930.460,173.590,33.720
01:15,6525.520,2891.110,1446.580,1916.130,172.640,33.730
01:20,6482.300,2871.200,1434.090,1911.410,171.370,33.890
01:25,6457.480,2856.270,1427.410,1907.600,170.980,33.790
01:30,6434.160,2843.220,1426.000,1899.690,171.110,33.690
01:35,6393.250,2827.360,1417.060,1883.950,170.570,33.590
01:40,6388.140,2825.760,1416.450,1880.740,170.700,33.680
01:45,6350.230,2803.590,1405.680,1876.990,170.250,33.640
01:50,6335.040,2798.610,1404.560,1868.610,169.770,33.240
01:55,6296.830,2783.320,1392.230,1857.940,168.970,33.340
02:00,6271.370,2766.160,1389.170,1855.520,167.690,33.250
02:05,6211.150,2734.790,1379.760,1837.720,167.490,32.920
02:10,6183.260,2719.930,1374.950,1829.780,166.770,32.920
02:15,6157.500,2716.110,1367.060,1816.240,166.350,32.910
02:20,6127.600,2701.590,1363.500,1806.130,165.100,32.940
02:25,6109.890,2695.610,1356.850,1801.610,165.080,32.790
02:30,6084.390,2683.550,1347.840,1797.610,165.400,32.560
02:35,6055.200,2631.080,1339.860,1792.830,162.940,32.710
02:40,6037.010,2660.730,1333.680,1789.100,163.020,32.930
02:45,6012.270,2651.750,1331.220,1777.260,162.210,32.720
02:50,5977.040,2639.480,1314.000,1770.040,164.030,32.740
02:55,5944.150,2624.110,1306.600,1762.130,161.950,32.620
03:00,5920.950,2620.030,1305.070,1745.160,162.050,32.440
03:05,5891.990,2607.690,1298.580,1734.620,161.950,32.450
03:10,5881.420,2606.590,1289.730,1735.990,160.690,32.390
03:15,5843.970,2593.650,1284.380,1719.060,159.020,32.390
03:20,5815.480,2572.640,1281.430,1713.920,159.770,32.300
03:25,5794.500,2560.710,1277.080,1708.760,160.530,32.230
03:30,5776.210,2554.150,1271.280,1702.870,160.770,32.220
03:35,5746.900,2541.240,1265.570,1694.050,159.160,32.120
03:40,5728.160,2535.220,1262.790,1685.300,158.360,32.130
03:45,5702.160,2527.980,1255.540,1674.180,158.130,32.180
03:50,5670.370,2517.720,1246.550,1661.930,158.150,32.190
03:55,5655.090,2500.180,1243.510,1667.700,157.550,32.130
04:00,5617.860,2486.080,1234.660,1654.320,157.380,32.040
04:05,5554.270,2462.700,1219.330,1630.720,156.910,31.920
04:10,5533.940,2419.650,1211.880,1625.230,157.210,32.030
04:15,5510.360,2444.710,1203.870,1620.860,156.180,32.020
04:20,5472.690,2434.830,1200.720,1604.130,156.000,32.110
04:25,5450.680,2422.310,1189.930,1598.510,156.080,32.140
04:30,5432.790,2409.090,1184.090,1598.760,157.020,32.100
04:35,5394.060,2394.560,1176.740,1583.660,155.950,32.320
04:40,5369.730,2386.870,1174.200,1570.110,155.510,32.390
04:45,5356.680,2337.850,1168.080,1577.350,155.640,32.410
04:50,5321.370,2358.310,1162.760,1559.870,155.110,32.350
04:55,5294.420,2335.620,1160.170,1560.030,155.840,32.620
05:00,5269.690,2343.030,1149.320,1540.460,154.400,32.460
05:05,5205.780,2316.740,1136.890,1514.920,154.890,32.560
05:10,5191.360,2309.350,1130.360,1516.290,153.480,32.500
05:15,5156.340,2292.740,1120.600,1504.460,153.370,32.340
05:20,5129.260,2285.350,1119.050,1491.320,153.030,31.970
05:25,5077.370,2253.560,1113.850,1479.560,151.650,31.370
05:30,5041.640,2232.970,1106.320,1471.900,150.670,31.190
05:35,4994.450,2216.500,1099.790,1460.190,148.390,30.940
05:40,4936.600,2181.260,1086.710,1441.940,148.270,30.590
05:45,4915.300,2173.090,1086.660,1434.020,144.440,30.410
05:50,4876.930,2142.770,1083.280,1428.230,143.320,30.170
05:55,4849.660,2143.400,1078.560,1407.280,146.170,30.220
06:00,4826.730,2126.590,1070.980,1407.790,148.080,30.010
06:05,4784.500,2109.370,1061.240,1389.830,148.010,30.090
06:10,4748.560,2081.220,1057.750,1386.510,147.710,30.080
06:15,4732.980,2070.370,1060.730,1378.640,148.250,30.080
06:20,4712.880,2058.350,1054.480,1376.810,148.670,29.940
06:25,4692.600,2047.530,1059.820,1362.110,149.110,30.000
06:30,4685.720,2035.940,1061.010,1365.590,151.270,30.150
06:35,4669.480,2028.900,1068.080,1348.440,151.510,29.970
06:40,4635.720,2010.200,1053.530,1345.790,152.060,29.860
06:45,4589.650,2001.680,1042.420,1317.470,152.650,30.120
06:50,4573.850,1984.890,1034.910,1327.600,152.910,30.200
06:55,4566.670,1974.290,1019.650,1352.120,149.060,30.290
07:00,4559.790,1970.920,1018.570,1346.090,150.210,30.430
07:05,4565.710,1983.420,1032.030,1323.510,154.420,30.320
07:10,4525.130,1959.060,1016.060,1323.590,155.230,30.460
07:15,4538.690,1942.260,1037.150,1324.220,159.170,30.560
07:20,4522.040,1964.180,1018.690,1307.260,161.750,30.790
07:25,4571.140,1980.830,1029.390,1321.800,164.180,31.090
07:30,4514.830,1958.460,997.560,1314.050,168.110,31.290
07:35,4519.780,1941.700,1021.750,1310.990,171.300,31.670
07:40,4502.840,1950.630,1007.630,1296.710,172.690,32.230
07:45,4504.330,1931.450,1009.770,1309.250,176.650,32.610
07:50,4500.710,1929.320,1014.950,1302.290,179.510,33.190
07:55,4465.440,1929.520,992.790,1280.270,185.090,33.370
08:00,4499.460,1922.180,1008.480,1303.990,188.660,33.710
08:05,4430.740,1879.390,993.870,1287.740,191.260,34.170
08:10,4473.450,1921.060,986.040,1290.860,196.200,34.440
08:15,4462.180,1915.420,991.380,1281.610,201.890,34.880
08:20,4488.180,1907.700,993.840,1300.150,204.860,35.620
08:25,4476.040,1926.070,945.710,1317.550,207.560,35.780
08:30,4479.330,1915.710,978.920,1297.140,210.680,36.730
08:35,4516.680,1946.750,967.370,1296.740,213.990,37.530
08:40,4511.980,1986.510,967.660,1295.480,181.360,38.380
08:45,4483.110,1954.480,958.600,1288.550,197.760,38.790
