TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
00:30,3230.010,1355.110,713.550,992.910,119.910,17.880
00:35,3208.870,1350.630,707.260,982.570,120.150,17.790
00:40,3198.340,1344.690,702.000,984.560,118.990,17.720
00:45,3189.120,1341.220,697.720,984.360,117.970,17.690
00:50,3157.510,1322.330,693.560,974.830,119.180,17.610
00:55,3160.620,1329.630,692.760,972.160,118.430,17.660
01:00,3144.340,1326.760,688.960,962.780,118.360,17.640
01:05,3111.860,1317.780,682.880,947.120,117.210,17.470
01:10,3100.070,1305.330,682.040,949.860,117.090,17.410
01:15,3091.640,1305.420,678.950,944.620,115.520,17.480
01:20,3069.870,1293.080,673.970,939.240,116.560,17.420
01:25,3063.260,1295.110,673.410,939.200,109.300,17.440
01:30,3050.060,1286.980,669.880,939.820,109.950,17.270
01:35,3051.610,1284.340,666.020,944.980,109.890,17.290
01:40,3038.960,1278.300,663.780,941.430,109.390,17.430
01:45,3025.490,1272.500,660.180,936.470,110.140,17.490
01:50,3017.840,1271.630,658.200,933.200,110.050,17.270
01:55,3003.760,1264.190,654.230,930.080,108.920,17.310
02:00,2992.220,1260.990,654.300,920.870,110.410,17.330
02:05,2979.270,1257.170,650.080,917.530,109.510,17.260
02:10,2979.270,1259.190,649.470,916.940,108.700,17.110
02:15,2958.510,1247.830,645.230,911.780,108.570,17.100
02:20,2946.100,1240.780,642.570,908.390,109.300,16.980
02:25,2938.130,1237.090,640.620,904.650,110.900,16.930
02:30,2934.670,1237.570,636.920,904.580,110.880,17.060
02:35,2924.240,1232.950,635.180,899.970,111.010,17.070
02:40,2911.200,1224.650,631.110,899.140,110.780,17.020
02:45,2903.890,1220.540,633.310,895.190,110.880,16.290
02:50,2894.280,1217.630,629.910,890.550,112.510,16.260
02:55,2882.280,1214.210,626.200,886.710,111.550,16.260
03:00,2875.970,1211.580,623.000,887.120,111.120,16.220
03:05,2872.380,1212.070,623.670,882.950,110.190,16.140
03:10,2867.150,1209.960,621.470,881.630,110.480,16.220
03:15,2854.620,1204.080,619.980,877.140,109.740,16.250
03:20,2833.730,1197.970,614.870,867.780,109.840,16.360
03:25,2838.120,1197.840,613.290,874.030,109.560,16.330
03:30,2830.930,1194.050,611.780,872.560,109.310,16.270
03:35,2831.540,1196.350,612.790,869.690,109.340,16.480
03:40,2824.390,1200.050,609.020,862.570,108.680,16.980
03:45,2816.290,1192.280,606.550,866.440,107.340,16.990
03:50,2809.370,1185.690,605.640,865.630,108.720,16.950
03:55,2799.050,1186.410,600.230,860.880,107.840,16.900
04:00,2812.230,1195.150,600.870,863.340,108.000,16.880
