TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
00:30,4210.990,1786.760,953.670,1260.040,147.860,21.930
00:35,4197.780,1779.900,945.680,1260.150,148.900,21.900
00:40,4173.630,1776.250,937.910,1249.150,148.270,21.830
00:45,4151.360,1764.630,935.610,1243.860,146.080,21.810
00:50,4125.670,1753.470,928.090,1238.210,144.950,21.690
00:55,4109.910,1732.010,917.240,1259.830,140.110,21.640
01:00,4083.890,1717.920,910.860,1249.390,145.500,21.550
01:05,4070.010,1713.480,908.390,1244.280,143.820,21.520
01:10,4021.610,1690.900,899.130,1229.330,142.610,21.440
01:15,4014.450,1685.850,896.610,1230.670,142.010,21.390
01:20,3978.950,1669.320,888.620,1218.060,142.870,21.250
01:25,3955.980,1656.510,885.430,1212.420,142.940,21.090
01:30,3944.070,1650.100,880.680,1213.090,142.200,21.240
01:35,3923.310,1643.840,875.530,1204.420,141.260,21.020
01:40,3918.560,1640.370,871.760,1207.220,141.060,20.980
01:45,3903.620,1630.750,869.100,1203.680,141.990,21.040
01:50,3882.580,1624.730,866.270,1193.500,140.520,20.970
01:55,3880.260,1624.900,861.760,1195.100,140.160,21.190
02:00,3870.830,1624.190,859.320,1189.560,139.810,21.250
02:05,3838.560,1610.960,853.920,1175.790,140.330,21.110
02:10,3809.640,1596.860,846.690,1169.310,139.570,21.120
02:15,3803.060,1592.380,842.240,1172.380,139.070,20.970
02:20,3789.640,1588.080,839.270,1166.250,138.900,21.000
02:25,3761.300,1573.720,833.290,1158.770,138.780,20.930
02:30,3744.940,1571.070,832.880,1147.190,138.580,20.930
02:35,3735.240,1564.310,825.940,1150.810,137.950,20.850
02:40,3722.320,1559.680,823.390,1144.730,138.280,20.840
02:45,3692.540,1547.160,819.370,1134.790,136.330,20.910
02:50,3678.010,1543.230,814.150,1127.670,137.580,20.740
02:55,3657.260,1530.880,810.200,1124.650,136.030,20.770
03:00,3661.230,1536.200,813.970,1116.800,138.240,20.680
03:05,3634.920,1533.310,813.550,1105.990,127.370,20.770
03:10,3626.840,1535.550,804.840,1096.210,136.080,20.730
03:15,3605.470,1525.830,803.380,1085.800,135.600,20.690
03:20,3576.880,1512.100,800.030,1074.550,135.620,20.570
03:25,3566.040,1510.940,792.170,1072.330,136.090,20.610
03:30,3575.930,1511.620,792.460,1082.160,136.030,20.470
03:35,3555.770,1498.790,787.070,1074.510,136.210,20.440
03:40,3536.440,1494.240,783.260,1068.640,136.280,20.420
03:45,3528.480,1488.870,781.650,1069.670,134.740,20.320
03:50,3513.200,1476.810,778.570,1069.630,134.800,20.210
03:55,3496.390,1477.720,773.400,1056.630,135.150,20.300
04:00,3486.150,1472.720,769.650,1056.380,134.430,20.120
04:05,3487.360,1470.690,769.340,1059.260,134.740,20.170
04:10,3464.930,1465.270,761.010,1054.930,134.880,20.220
04:15,3470.750,1467.490,761.430,1053.850,134.480,20.520
04:20,3441.070,1458.930,751.440,1043.120,134.520,20.360
04:25,3442.230,1463.630,752.370,1039.590,133.790,20.200
04:30,3436.380,1461.110,748.490,1039.270,134.540,20.280
04:35,3429.580,1457.660,748.220,1038.010,132.590,20.500
04:40,3413.730,1453.320,744.320,1030.010,132.770,20.610
04:45,3415.140,1453.300,745.330,1029.100,133.680,20.600
04:50,3384.470,1443.690,739.680,1015.120,132.970,20.720
04:55,3371.560,1443.640,734.230,1007.480,133.390,20.750
05:00,3390.750,1448.250,736.120,1018.950,134.030,20.870
05:05,3382.370,1451.080,733.340,1011.040,134.470,20.910
05:10,3359.630,1437.000,731.030,1005.850,133.880,20.980
05:15,3356.470,1437.950,728.880,1003.860,133.020,21.000
05:20,3350.870,1432.220,730.820,1009.570,133.800,20.900
05:25,3336.180,1432.420,728.030,990.580,132.840,20.870
05:30,3345.210,1435.000,728.710,994.660,134.230,20.800
05:35,3319.240,1431.640,733.040,969.880,132.080,20.920
05:40,3321.580,1424.040,738.210,974.870,131.950,20.910
05:45,3305.680,1401.950,728.770,990.860,132.210,20.980
05:50,3307.380,1407.060,728.180,988.950,131.560,20.650
05:55,3281.540,1406.440,723.320,967.470,132.070,21.080
06:00,3312.810,1411.980,728.170,985.630,132.170,21.030
06:05,3349.490,1424.220,740.530,998.280,133.210,21.300
06:10,3345.140,1417.450,742.240,998.950,134.610,21.470
06:15,3365.220,1420.460,753.800,1007.120,134.060,21.820
06:20,3376.650,1444.110,747.870,995.680,134.820,22.050
06:25,3400.950,1439.800,759.840,1003.770,141.860,22.140
06:30,3372.380,1434.070,757.060,1000.410,135.020,22.150
06:35,3374.710,1423.280,754.940,1007.250,135.970,22.140
06:40,3388.680,1421.540,765.540,1006.380,133.380,22.410
06:45,3429.980,1456.910,775.940,1003.650,138.910,22.660
06:50,3397.390,1433.020,761.480,1003.300,143.900,22.950
06:55,3412.700,1448.640,760.800,1005.240,140.940,23.320
07:00,3416.610,1436.970,778.810,1006.960,137.850,23.610
07:05,3436.240,1448.660,774.700,1019.550,138.570,23.500
07:10,3483.610,1474.990,783.990,1040.420,129.850,23.260
07:15,3467.920,1472.190,779.350,1020.740,140.110,23.830
07:20,3451.260,1460.060,760.600,1027.140,142.730,24.470
07:25,3469.660,1481.240,778.060,1004.370,140.940,25.050
07:30,3481.930,1472.490,760.140,1043.750,148.600,25.180
07:35,3449.420,1452.250,769.970,1025.420,143.340,25.260
07:40,3474.300,1460.850,779.230,1024.510,158.710,25.490
07:45,3491.980,1477.400,757.650,1030.680,166.780,25.530
07:50,3524.910,1481.790,768.980,1040.360,170.840,25.650
07:55,3533.060,1480.190,772.220,1049.020,171.280,25.960
08:00,3512.230,1506.860,757.000,1014.120,173.270,26.050
08:05,3519.090,1457.560,790.310,1036.250,180.740,26.340
08:10,3533.750,1483.570,777.720,1034.040,184.890,26.490
08:15,3536.660,1470.600,769.070,1049.210,184.950,26.900
08:20,3578.910,1514.570,760.560,1053.920,189.080,27.210
08:25,3630.810,1498.870,776.790,1094.810,199.190,27.680
08:30,3597.100,1525.580,775.040,1059.870,181.480,28.040
08:35,3639.970,1526.090,785.830,1061.680,200.550,28.100
08:40,3667.400,1542.770,791.480,1068.830,200.740,28.740
08:45,3646.960,1513.310,788.650,1065.860,214.260,29.250
08:50,3676.070,1552.860,758.920,1075.770,218.080,29.780
08:55,3692.040,1559.180,786.770,1065.170,220.150,29.750
09:00,3730.470,1572.040,805.150,1069.080,219.760,30.080
09:05,3787.030,1589.930,811.140,1101.220,218.010,30.590
09:10,3840.940,1593.640,828.180,1125.340,227.070,30.920
09:15,3914.340,1622.000,834.060,1154.970,235.150,31.570
09:20,3955.770,1627.970,848.190,1168.300,241.280,31.460
09:25,4058.250,1667.370,871.020,1211.610,240.930,31.800
09:30,4024.490,1664.200,846.280,1198.080,246.680,31.820
09:35,4140.320,1688.720,894.350,1244.680,243.010,32.140
09:40,4191.500,1733.230,887.480,1259.350,238.160,32.390
09:45,4220.530,1724.020,897.800,1286.600,243.180,32.160
09:50,4253.890,1739.970,908.070,1285.590,255.270,32.240
09:55,4254.960,1764.750,881.640,1284.150,258.620,32.170
10:00,4339.750,1773.820,900.150,1318.630,268.710,32.070
10:05,4335.660,1785.860,920.010,1290.140,269.780,31.960
10:10,4345.870,1778.430,931.070,1285.280,268.480,32.370
10:15,4365.610,1764.050,927.400,1332.670,270.350,32.110
10:20,4388.760,1787.010,943.150,1320.240,269.270,32.550
10:25,4376.850,1811.810,915.630,1310.830,269.940,32.740
10:30,4442.260,1800.010,937.690,1355.060,274.320,32.100
10:35,4491.980,1815.120,964.410,1370.300,269.460,32.430
10:40,4519.300,1846.910,975.020,1352.560,270.550,32.560
10:45,4509.250,1839.590,963.500,1357.510,274.600,31.980
10:50,4501.980,1813.120,980.100,1370.710,271.840,31.880
10:55,4549.930,1840.310,974.540,1381.740,268.870,31.520
11:00,4489.260,1826.780,967.160,1351.120,272.880,31.470
11:05,4505.040,1807.830,977.110,1391.870,269.730,31.110
