TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
00:30,2624.370,992.960,578.760,871.700,147.270,13.470
00:35,2606.610,985.000,575.420,861.830,147.700,13.410
00:40,2606.470,985.400,573.320,859.240,148.000,13.610
00:45,2595.530,983.780,571.340,853.610,148.440,13.700
00:50,2590.760,982.520,567.030,855.070,148.350,13.630
00:55,2581.260,971.750,567.060,854.350,149.880,13.590
01:00,2571.210,969.850,566.280,849.160,147.830,13.680
01:05,2556.880,964.950,560.140,843.770,150.250,13.480
01:10,2554.450,959.390,560.790,846.150,150.340,13.540
01:15,2542.900,958.570,556.380,839.510,150.830,13.540
01:20,2539.880,951.450,555.150,844.390,151.250,13.480
01:25,2538.090,951.110,552.240,842.600,150.380,13.450
01:30,2532.930,948.820,553.950,841.380,151.250,13.430
01:35,2524.300,947.990,549.600,838.400,151.530,13.370
01:40,2517.590,945.030,547.870,836.920,150.880,13.390
01:45,2514.920,943.510,546.570,837.150,151.350,13.410
01:50,2500.000,938.330,545.210,828.540,151.740,13.300
01:55,2503.120,940.840,546.810,827.630,150.760,13.270
02:00,2491.670,935.220,543.900,823.460,151.880,13.350
02:05,2492.250,937.390,544.290,822.250,151.240,13.350
02:10,2476.310,929.480,537.790,820.400,151.530,13.250
02:15,2476.650,933.780,536.540,817.470,152.010,13.320
02:20,2474.500,933.480,536.230,815.730,152.340,13.350
02:25,2468.030,925.160,535.110,818.310,152.810,13.250
02:30,2465.820,928.820,531.940,816.530,152.320,13.350
02:35,2461.360,918.940,531.370,821.790,152.370,13.370
02:40,2461.560,925.890,530.490,815.850,152.620,13.280
02:45,2453.400,925.030,529.080,810.340,152.350,13.380
02:50,2448.570,922.920,530.310,806.080,152.640,13.330
02:55,2450.900,921.530,530.580,809.430,152.680,13.440
03:00,2442.390,919.650,529.540,803.970,153.130,13.370
03:05,2446.960,922.420,525.350,809.970,152.680,13.440
03:10,2447.420,927.390,522.810,807.750,152.740,13.480
03:15,2449.470,927.740,525.340,806.210,154.130,13.580
03:20,2431.150,922.980,524.840,800.700,146.070,13.460
