TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
00:30,2450.350,1011.920,514.560,773.670,112.350,14.650
00:35,2437.700,1001.590,517.190,771.160,111.210,14.590
00:40,2434.490,1001.970,514.400,768.740,111.670,14.570
00:45,2419.660,995.030,512.800,762.530,110.710,14.540
00:50,2416.520,999.300,508.450,761.210,109.960,14.570
00:55,2407.650,989.590,509.540,762.250,108.750,14.420
01:00,2401.560,988.820,507.460,756.790,109.880,14.520
01:05,2379.470,982.550,501.010,748.420,110.360,14.540
01:10,2372.360,980.240,499.510,747.930,107.590,14.540
01:15,2371.380,978.580,501.100,747.360,107.160,14.570
01:20,2359.770,975.210,495.660,744.800,107.230,14.410
01:25,2353.310,968.700,496.420,743.710,107.570,14.470
01:30,2342.350,967.330,492.930,739.520,106.140,14.230
01:35,2331.270,960.500,489.710,738.510,106.150,14.240
01:40,2321.020,955.980,486.870,735.170,106.490,14.480
01:45,2321.990,954.380,487.720,736.640,106.760,14.380
01:50,2313.650,951.760,486.380,732.430,106.710,14.400
01:55,2305.270,948.260,484.930,730.280,105.750,14.390
02:00,2297.780,942.970,483.050,729.350,105.540,14.310
02:05,2296.220,943.730,480.380,730.230,106.010,14.280
02:10,2281.750,940.030,476.260,725.520,104.240,14.180
02:15,2284.220,942.740,475.110,725.260,104.990,14.230
02:20,2277.780,936.360,474.760,725.770,104.780,14.140
02:25,2274.740,935.290,474.100,724.970,104.570,14.220
02:30,2275.500,934.920,474.080,725.020,104.720,14.300
02:35,2267.310,929.530,473.630,724.120,104.330,14.200
02:40,2257.730,927.580,472.550,717.500,104.380,14.240
02:45,2249.380,922.340,469.550,717.840,104.170,14.200
02:50,2239.480,921.140,465.730,713.630,104.380,14.190
02:55,2251.460,926.130,469.030,716.430,104.260,14.260
03:00,2233.920,921.310,466.540,710.580,99.890,14.400
03:05,2231.340,921.390,465.330,708.860,100.050,14.290
03:10,2237.450,921.890,465.040,713.360,101.470,14.350
03:15,2233.820,921.360,465.470,710.200,101.030,14.300
03:20,2217.710,914.230,460.600,705.990,101.800,14.200
03:25,2225.540,919.620,462.670,706.920,101.010,14.270
03:30,2223.370,921.110,459.540,706.600,100.630,14.380
03:35,2217.170,915.850,459.840,705.300,100.940,14.170
03:40,2232.580,921.690,462.870,712.100,101.580,14.160
03:45,2215.610,909.010,459.340,709.310,101.810,14.140
03:50,2210.280,913.730,457.750,702.030,101.600,14.250
03:55,2202.750,910.920,455.750,699.510,101.740,14.160
04:00,2202.310,907.720,451.330,704.320,105.350,14.140
04:05,2206.010,912.760,450.200,707.000,100.980,14.170
04:10,2218.130,922.190,452.120,706.760,101.970,14.140
04:15,2216.730,923.420,451.570,702.700,103.680,14.280
04:20,2224.760,926.960,453.560,706.520,102.140,14.400
04:25,2227.520,927.390,455.070,707.410,102.230,14.370
04:30,2229.290,928.800,457.800,705.410,101.360,14.430
04:35,2245.400,941.050,460.620,706.640,101.010,14.390
04:40,2256.790,944.740,462.950,712.690,100.070,14.480
04:45,2248.870,936.970,461.400,710.700,103.540,14.570
04:50,2253.980,940.580,461.800,713.380,101.720,14.730
04:55,2258.540,949.510,464.850,706.360,101.420,14.860
05:00,2242.960,948.960,457.450,697.870,102.480,14.950
05:05,2275.960,955.540,468.800,711.500,103.200,15.360
05:10,2275.280,954.430,470.600,714.140,103.140,15.350
05:15,2306.710,969.050,480.250,716.780,102.280,15.510
05:20,2318.320,972.460,482.620,722.090,103.800,15.660
05:25,2326.120,975.740,481.970,726.640,104.140,16.050
05:30,2342.290,980.060,490.230,728.900,104.730,16.140
05:35,2370.540,995.790,493.790,735.590,106.150,16.360
05:40,2364.310,986.950,496.190,736.360,105.680,16.540
05:45,2374.570,994.580,496.010,738.950,105.570,16.820
05:50,2389.590,997.520,500.880,746.450,105.450,16.770
05:55,2364.070,997.700,489.710,731.120,105.850,17.350
06:00,2400.940,1005.340,508.170,740.900,106.390,17.490
06:05,2409.000,1017.040,502.250,744.570,105.910,17.430
06:10,2427.920,1018.520,506.000,758.020,106.950,17.570
06:15,2448.840,1028.960,506.210,765.770,106.730,17.590
06:20,2483.060,1028.950,532.730,774.450,108.290,17.480
06:25,2484.200,1032.220,525.430,778.110,107.520,17.290
06:30,2498.720,1030.570,528.480,788.500,108.540,17.690
06:35,2501.740,1043.510,541.610,768.590,107.500,17.750
06:40,2533.410,1053.000,539.100,790.570,108.770,17.960
06:45,2544.390,1055.450,543.440,795.270,108.170,18.380
06:50,2572.150,1053.880,562.320,803.040,109.920,18.540
06:55,2589.190,1071.830,564.020,800.530,112.220,17.950
07:00,2617.340,1083.240,563.870,813.370,113.420,18.600
07:05,2623.390,1073.480,572.380,818.290,113.450,19.040
07:10,2639.740,1070.140,578.450,832.620,113.340,19.050
07:15,2650.530,1087.420,580.270,823.480,114.280,18.960
