Company Name,Company Ratings,Services,Advantage_DisAdv,Details
TCS,3.8,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Pimpri-Chinchwad +291 more,"['Job Security, Work Life Balance, Company Culture', 'Promotions / Appraisal, Salary & Benefits']","['65.5k Reviews', '732.6k Salaries', '5.4k Interviews', '105 Jobs', '10.4k Benefits', '63 Photos']"
Accenture,4.1,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Bengaluru/Bangalore +145 more,"['Company Culture, Job Security, Skill Development / Learning']","['41.7k Reviews', '512.7k Salaries', '3.7k Interviews', '11.5k Jobs', '6.5k Benefits', '38 Photos']"
Cognizant,3.9,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Pimpri-Chinchwad +118 more,"['Skill Development / Learning, Job Security']","['37.9k Reviews', '496.9k Salaries', '3.2k Interviews', '593 Jobs', '5.4k Benefits', '47 Photos']"
Wipro,3.8,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Pimpri-Chinchwad +252 more,"['Job Security, Skill Development / Learning']","['34.8k Reviews', '368.2k Salaries', '3.2k Interviews', '1.3k Jobs', '4.5k Benefits', '41 Photos']"
ICICI Bank,4.0,Banking | 1 Lakh+ Employees | Public | 29 years old | Pimpri-Chinchwad +1212 more,"['Job Security, Skill Development / Learning, Company Culture']","['30.5k Reviews', '136k Salaries', '1.7k Interviews', '213 Jobs', '3.6k Benefits', '22 Photos']"
HDFC Bank,3.9,Banking | 1 Lakh+ Employees | Public | 29 years old | Pimpri-Chinchwad +1441 more,"['Job Security, Skill Development / Learning']","['30.2k Reviews', '123.4k Salaries', '1.4k Interviews', '402 Jobs', '3.1k Benefits', '14 Photos']"
Infosys,3.9,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Pimpri-Chinchwad +142 more,"['Job Security, Company Culture, Skill Development / Learning']","['28.7k Reviews', '413.1k Salaries', '4.4k Interviews', '690 Jobs', '4.6k Benefits', '79 Photos']"
Capgemini,3.8,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Bengaluru/Bangalore +95 more,"['Job Security, Work Life Balance, Company Culture']","['26.5k Reviews', '335.9k Salaries', '2.2k Interviews', '659 Jobs', '3.6k Benefits', '25 Photos']"
Tech Mahindra,3.7,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pimpri-Chinchwad +239 more,[],"['24.8k Reviews', '235.9k Salaries', '2.2k Interviews', '1.4k Jobs', '3.3k Benefits', '40 Photos']"
HCLTech,3.7,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +158 more,['Job Security'],"['24.3k Reviews', '250.1k Salaries', '2.2k Interviews', '630 Jobs', '3.7k Benefits', '24 Photos']"
