TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
00:30,4900.150,2119.440,1146.380,1406.410,155.120,26.760
00:35,4870.110,2110.030,1133.250,1400.320,153.630,26.550
00:40,4862.870,2106.980,1129.610,1399.480,152.490,26.410
00:45,4866.640,2117.650,1123.090,1399.750,152.810,26.500
00:50,4842.900,2110.460,1117.720,1391.020,151.290,26.430
00:55,4827.850,2111.140,1117.590,1377.140,150.820,26.310
01:00,4820.870,2108.380,1109.710,1384.010,146.850,26.110
01:05,4793.600,2100.440,1105.650,1370.220,145.780,26.100
01:10,4752.420,2080.440,1094.450,1360.690,145.770,25.930
01:15,4734.750,2073.200,1092.920,1357.910,139.520,25.770
01:20,4714.160,2066.950,1083.250,1352.970,140.050,25.910
01:25,4719.780,2073.260,1083.830,1352.740,139.940,25.160
01:30,4701.380,2065.100,1082.590,1344.630,139.790,25.540
01:35,4664.250,2047.540,1074.050,1333.860,138.780,25.700
01:40,4657.060,2045.380,1071.380,1330.860,139.250,25.940
01:45,4665.190,2047.590,1074.240,1333.890,139.280,25.870
01:50,4637.490,2034.250,1069.730,1325.220,138.370,25.800
01:55,4595.020,2022.330,1055.570,1309.650,138.020,25.580
02:00,4576.970,1994.200,1061.350,1314.640,137.610,25.640
02:05,4534.950,1988.500,1048.310,1292.980,136.590,25.370
02:10,4493.320,1969.040,1038.170,1283.580,134.620,25.220
02:15,4480.370,1958.600,1038.810,1280.840,135.180,25.200
02:20,4452.410,1944.890,1031.490,1273.990,134.440,25.210
02:25,4438.760,1935.320,1028.130,1272.800,134.950,25.280
02:30,4428.510,1934.240,1023.400,1269.770,134.440,25.250
02:35,4398.580,1922.310,1018.000,1256.790,135.110,25.390
02:40,4406.610,1921.980,1020.400,1262.860,134.480,25.230
02:45,4374.360,1905.510,1014.900,1252.860,134.160,25.370
02:50,4346.760,1897.690,1005.550,1243.980,133.190,25.140
02:55,4314.670,1883.270,1002.150,1229.110,133.990,25.130
03:00,4307.110,1884.970,997.490,1232.990,134.170,25.150
03:05,4268.670,1859.160,991.130,1219.900,133.280,24.890
03:10,4229.820,1841.690,980.600,1209.610,133.440,24.800
03:15,4208.010,1836.310,976.320,1198.340,132.690,24.760
03:20,4186.440,1829.890,963.270,1196.470,132.400,24.660
03:25,4168.180,1822.320,957.050,1191.590,132.870,24.630
03:30,4161.230,1817.500,958.710,1189.280,131.650,24.510
03:35,4124.140,1799.190,950.590,1179.360,131.970,24.330
03:40,4119.560,1794.170,949.250,1182.020,130.240,24.320
03:45,4100.850,1792.730,942.280,1171.920,130.870,24.230
03:50,4085.520,1783.090,940.550,1168.500,130.460,24.210
03:55,4078.500,1782.120,937.420,1166.380,129.920,24.150
04:00,4065.360,1777.250,934.030,1161.120,129.940,24.310
04:05,4036.970,1764.660,927.280,1152.450,130.000,24.180
04:10,4021.070,1761.650,920.400,1147.610,129.690,24.050
04:15,4001.260,1752.630,916.920,1140.540,129.170,23.990
04:20,3991.880,1744.450,913.490,1142.250,129.730,23.990
04:25,3981.030,1739.820,911.130,1138.110,130.100,23.990
04:30,3985.950,1742.680,909.820,1142.800,129.710,24.090
04:35,3977.640,1743.810,907.480,1135.400,129.760,24.050
04:40,3959.360,1726.920,904.940,1136.340,129.150,24.110
04:45,3944.760,1722.090,903.960,1127.560,129.540,24.200
04:50,3931.130,1718.500,901.770,1120.660,127.740,24.190
04:55,3893.510,1705.040,894.730,1105.820,127.110,24.140
05:00,3896.650,1702.010,894.090,1112.540,126.830,24.150
05:05,3880.600,1696.930,892.850,1101.730,127.090,24.030
05:10,3847.380,1678.030,882.870,1098.910,126.830,24.080
05:15,3858.770,1689.590,889.860,1091.230,126.550,24.300
05:20,3860.340,1687.050,889.290,1096.400,126.120,24.410
05:25,3834.480,1669.220,885.380,1094.080,125.210,24.470
05:30,3833.680,1672.190,885.220,1087.670,125.020,24.560
05:35,3810.500,1659.170,876.900,1088.880,124.460,24.260
05:40,3770.340,1649.220,866.570,1070.830,124.160,24.280
05:45,3708.400,1598.020,863.150,1068.000,122.410,24.140
05:50,3714.880,1618.540,860.650,1053.730,120.730,24.200
05:55,3711.690,1615.410,861.380,1053.990,119.370,24.230
06:00,3699.970,1615.240,853.070,1050.190,119.830,24.300
06:05,3673.350,1588.690,846.850,1059.160,119.660,24.080
06:10,3643.240,1562.030,843.510,1060.150,119.520,24.030
06:15,3632.460,1570.000,836.270,1047.190,120.530,24.040
06:20,3640.260,1574.160,839.780,1047.340,120.440,23.680
06:25,3613.790,1562.190,843.760,1032.790,120.620,23.610
06:30,3599.840,1541.920,841.970,1037.420,121.830,23.480
06:35,3610.250,1556.290,837.550,1040.580,121.890,23.260
06:40,3589.090,1528.550,849.980,1031.640,121.440,23.300
06:45,3582.300,1524.610,844.620,1035.800,121.620,23.340
06:50,3570.530,1509.920,849.490,1030.960,122.210,22.990
06:55,3576.370,1510.550,847.370,1028.120,122.680,22.970
07:00,3525.000,1500.610,829.160,1017.600,122.590,23.030
07:05,3535.930,1491.740,840.770,1037.850,121.510,22.820
07:10,3546.180,1501.990,851.170,1013.820,122.440,22.830
07:15,3515.690,1499.560,825.830,1011.930,121.970,22.850
07:20,3500.820,1485.880,825.450,1011.140,122.330,22.730
07:25,3523.990,1485.290,849.390,1009.290,123.590,22.620
07:30,3479.810,1465.180,823.320,1011.990,123.900,22.390
07:35,3474.700,1462.750,829.250,1003.900,123.380,22.440
07:40,3495.700,1468.500,833.540,1015.650,124.510,22.340
07:45,3474.700,1459.190,833.380,1006.020,124.650,22.260
07:50,3452.180,1443.310,818.520,1009.660,125.010,22.160
07:55,3439.920,1442.100,813.710,1003.640,125.350,22.180
08:00,3436.990,1438.120,805.510,1013.730,125.110,22.020
08:05,3456.310,1431.860,823.240,1020.600,125.760,22.070
08:10,3434.440,1434.600,808.820,1007.480,125.320,21.850
08:15,3453.930,1434.840,814.160,1023.880,125.990,21.990
08:20,3442.350,1442.170,796.090,1019.540,127.020,22.010
08:25,3449.930,1440.210,799.760,1032.150,127.400,21.890
08:30,3430.340,1424.920,808.730,1016.690,126.510,21.850
08:35,3397.500,1418.200,781.520,1017.460,127.250,22.010
08:40,3428.940,1437.890,780.500,1030.950,127.140,21.900
08:45,3431.730,1449.040,776.260,1023.520,127.850,21.980
08:50,3414.820,1415.330,789.870,1025.510,128.550,22.040
08:55,3428.240,1425.900,780.940,1040.160,128.390,21.870
09:00,3404.550,1413.060,791.420,1017.920,128.510,21.910
09:05,3460.930,1442.830,813.050,1022.490,129.240,21.950
09:10,3464.680,1423.090,808.840,1049.850,129.940,22.120
09:15,3532.880,1450.630,814.600,1082.550,130.520,22.450
09:20,3558.670,1465.090,807.800,1097.130,131.250,22.500
09:25,3573.310,1445.060,828.470,1108.790,131.070,22.520
09:30,3602.740,1462.180,833.560,1118.750,131.650,22.660
09:35,3620.700,1481.090,827.710,1132.200,127.570,22.470
09:40,3671.920,1489.490,840.220,1146.520,131.510,22.490
09:45,3677.880,1472.230,840.110,1174.760,133.700,22.710
09:50,3717.470,1485.690,852.170,1189.550,134.830,22.480
09:55,3717.560,1504.610,854.350,1165.550,135.000,22.690
10:00,3763.180,1507.390,858.590,1202.480,136.270,22.880
10:05,3738.160,1500.250,850.440,1191.940,137.180,22.910
10:10,3797.210,1523.250,872.970,1203.410,138.330,23.060
10:15,3801.080,1513.270,873.760,1214.090,139.580,23.290
10:20,3825.900,1523.410,883.450,1220.030,139.440,23.250
10:25,3850.720,1531.780,888.810,1231.010,139.680,23.100
10:30,3871.150,1554.340,882.030,1233.470,141.630,22.960
10:35,3862.420,1554.090,887.470,1219.050,141.840,23.240
10:40,3883.650,1560.520,882.560,1240.470,142.450,22.980
10:45,3822.410,1485.470,883.400,1250.960,142.210,22.990
10:50,3904.040,1546.260,901.660,1252.110,143.880,23.140
10:55,3921.930,1565.300,899.000,1253.160,144.770,23.240
11:00,3969.080,1566.750,924.700,1272.290,143.990,23.240
11:05,3975.460,1583.690,910.430,1265.020,144.430,23.260
11:10,3983.870,1590.370,913.230,1278.010,144.460,23.420
11:15,3977.400,1573.160,928.200,1271.240,144.250,23.430
11:20,3985.680,1586.630,919.840,1274.550,145.600,23.470
11:25,3943.810,1540.870,915.620,1277.150,146.360,23.280
11:30,3988.520,1555.880,925.010,1300.120,145.620,23.390
11:35,3964.140,1515.590,932.190,1307.550,147.610,23.090
11:40,4013.790,1552.820,944.890,1310.610,147.610,23.160
11:45,4011.090,1546.740,948.820,1307.610,148.360,23.240
11:50,3992.450,1550.730,944.420,1282.930,148.860,23.720
11:55,4032.230,1556.590,956.690,1309.400,149.240,23.590
12:00,4031.540,1568.520,938.170,1313.090,149.780,23.610
12:05,4054.370,1567.950,956.260,1322.210,149.050,23.600
12:10,4067.920,1582.700,951.900,1322.030,149.700,23.390
12:15,4072.490,1573.150,959.570,1327.730,149.890,23.570
12:20,4109.890,1602.070,962.040,1332.730,150.340,23.640
12:25,4127.690,1607.590,978.310,1326.790,152.160,23.730
12:30,4165.430,1629.070,970.240,1350.700,151.970,23.990
12:35,4133.340,1616.960,966.530,1334.760,151.790,24.090
